Series ID,A2060825C,A2060826F,A2060827J,A2060828K,A2060829L,A2060830W,A2060831X,A2060832A,A2060824A,A2060834F,A2060835J,A2060836K,A2060837L,A2060838R,A2060839T,A2060840A,A2060841C,A2060833C,A2060843J,A2060844K,A2060845L,A2060846R,A2060847T,A2060848V,A2060849W,A2060850F,A2060842F
Mar-2010,3540212,2698331,2191170,803566,1147794,252462,119772,179028,10934255,3588144,2746841,2196631,820467,1130795,255720,108828,181333,11029842,7128356,5445172,4387801,1624033,2278589,508182,228600,360361,21964097
Jun-2010,3548107,2705597,2199403,805365,1154064,252953,120516,179860,10967831,3596185,2755504,2205341,821957,1136781,255894,109262,181906,11063919,7144292,5461101,4404744,1627322,2290845,508847,229778,361766,22031750
Sep-2010,3557269,2713247,2207276,806976,1161154,253362,120926,180419,11002611,3605457,2765463,2214194,823254,1144261,256119,109534,182419,11101791,7162726,5478710,4421470,1630230,2305415,509481,230460,362838,22104402
Dec-2010,3565558,2720959,2214429,808037,1167862,253833,120979,181314,11034979,3614333,2774752,2222453,824445,1151201,256386,109320,183519,11137490,7179891,5495711,4436882,1632482,2319063,510219,230299,364833,22172469
Mar-2011,3577883,2732846,2224704,810216,1177289,254499,120802,182399,11082660,3626854,2787532,2233267,826543,1160322,256749,109422,184338,11186098,7204737,5520378,4457971,1636759,2337611,511248,230224,366737,22268758
Jun-2011,3585109,2740959,2233959,811845,1185050,254790,121483,182996,11118234,3633420,2796858,2242819,827769,1168359,256693,109809,184989,11221790,7218529,5537817,4476778,1639614,2353409,511483,231292,367985,22340024
Sep-2011,3594974,2753738,2244366,813765,1193472,254896,122071,183943,11163254,3644554,2810924,2253738,829637,1176140,256984,110510,185945,11269517,7239528,5564662,4498104,1643402,2369612,511880,232581,369888,22432771
Dec-2011,3604198,2766513,2253923,815608,1202068,254814,122136,184982,11206252,3654524,2825305,2264726,831575,1183879,256925,110816,187088,11315945,7258722,5591818,4518649,1647183,2385947,511739,232952,372070,22522197
Mar-2012,3617039,2783292,2267184,818519,1214355,254866,122702,186302,11266225,3667943,2842062,2278429,834197,1193753,257127,111573,188551,11374718,7284982,5625354,4545613,1652716,2408108,511993,234275,374853,22640943
Jun-2012,3626400,2796315,2278629,820600,1223614,254786,123533,187156,11312979,3677844,2854776,2290058,836125,1201893,256938,112382,189383,11420486,7304244,5651091,4568687,1656725,2425507,511724,235915,376539,22733465
Sep-2012,3637647,2810993,2290569,822297,1232568,254663,124377,188167,11363209,3689967,2869427,2301531,837901,1210308,256919,113140,190419,11470713,7327614,5680420,4592100,1660198,2442876,511582,237517,378586,22833922
Dec-2012,3650035,2825349,2299776,823688,1239615,254700,125043,188673,11408788,3703154,2884237,2311528,839394,1217874,257113,113685,191139,11519235,7353189,5709586,4611304,1663082,2457489,511813,238728,379812,22928023
Mar-2013,3664409,2842811,2310867,826272,1248763,254843,125779,189791,11465410,3718548,2902104,2323563,841784,1226479,257397,114328,192291,11577594,7382957,5744915,4634430,1668056,2475242,512240,240107,382082,23043004
Jun-2013,3674410,2856419,2319267,827964,1254322,254724,126835,190367,11506165,3729622,2916250,2333557,843524,1232622,257507,114887,192890,11621964,7404032,5772669,4652824,1671488,2486944,512231,241722,383257,23128129
Sep-2013,3687294,2871393,2327459,829769,1257982,254743,126921,191055,11548444,3743610,2933106,2343325,845544,1238303,257767,115380,193635,11671787,7430904,5804499,4670784,1675313,2496285,512510,242301,384690,23220231
Dec-2013,3698220,2884387,2333762,830900,1259941,254878,126854,191691,11582448,3756718,2948198,2351677,847152,1242247,258137,115450,194627,11715329,7454938,5832585,4685439,1678052,2502188,513015,242304,386318,23297777
Mar-2014,3714264,2902774,2343145,833675,1264796,255134,127065,192656,11635296,3773570,2966737,2362042,849869,1247760,258547,115725,195534,11770897,7487834,5869511,4705187,1683544,2512556,513681,242790,388190,23406193
Jun-2014,3724215,2915277,2349563,835164,1266894,255008,127079,192913,11667886,3784138,2979640,2370090,851781,1250714,258613,115815,195886,11807800,7508353,5894917,4719653,1686945,2517608,513621,242894,388799,23475686
Sep-2014,3737719,2930934,2356039,836736,1269642,255014,127036,193786,11708657,3798558,2996265,2378574,853397,1254400,258884,116165,196868,11854244,7536277,5927199,4734613,1690133,2524042,513898,243201,390654,23562901
Dec-2014,3750061,2945763,2361282,838094,1271552,254973,126742,194291,11744498,3812110,3011749,2385981,855013,1257067,259067,116011,197690,11895833,7562171,5957512,4747263,1693107,2528619,514040,242753,391981,23640331
Mar-2015,3766915,2964190,2368799,840589,1275265,255310,126740,195574,11795103,3828816,3031015,2395640,857844,1261339,259502,116319,198917,11950526,7595731,5995205,4764439,1698433,2536604,514812,243059,394491,23745629
Jun-2015,3776574,2977200,2374439,841522,1276698,255359,127914,196237,11827652,3839594,3045122,2403253,859146,1263974,259758,116778,199576,11988343,7616168,6022322,4777692,1700668,2540672,515117,244692,395813,23815995
Sep-2015,3790716,2994248,2380319,842864,1278462,255551,127486,197122,11868463,3854608,3063310,2411201,860839,1267047,260146,117084,200418,12035808,7645324,6057558,4791520,1703703,2545509,515697,244570,397540,23904271
Dec-2015,3803289,3011376,2385347,843702,1278792,255452,126967,197696,11904308,3868112,3081673,2419586,862235,1268953,260242,117123,201178,12080273,7671401,6093049,4804933,1705937,2547745,515694,244090,398874,23984581
Mar-2016,3821409,3034156,2394996,845824,1281787,255937,127066,199141,11961987,3886003,3104471,2431542,864510,1272719,260924,117561,202532,12141438,7707412,6138627,4826538,1710334,2554506,516861,244627,401673,24103425
Jun-2016,3833807,3051056,2403173,846877,1281968,256213,127676,199780,12003039,3899051,3122116,2441979,865966,1274010,261301,118002,203324,12187868,7732858,6173172,4845152,1712843,2555978,517514,245678,403104,24190907
Sep-2016,3852268,3069372,2412505,848406,1284136,256730,128162,200922,12054994,3918656,3140819,2453149,867869,1277490,261830,118359,204560,12244859,7770924,6210191,4865654,1716275,2561626,518560,246521,405482,24299853
Dec-2016,3867409,3086832,2420995,848806,1284737,257331,127774,201844,12098224,3934376,3158031,2462826,868594,1278971,262479,118409,205645,12291460,7801785,6244863,4883821,1717400,2563708,519810,246183,407489,24389684
Mar-2017,3888090,3111412,2432472,850894,1287883,258055,127752,203454,12162510,3954731,3181172,2474876,870968,1282828,263299,118630,207211,12355845,7842821,6292584,4907348,1721862,2570711,521354,246382,410665,24518355
Jun-2017,3901024,3126024,2442204,851836,1289027,258548,128555,204055,12203770,3966912,3195582,2485425,872087,1285166,263862,118962,207970,12398090,7867936,6321606,4927629,1723923,2574193,522410,247517,412025,24601860
Sep-2017,3917556,3143734,2450252,853450,1290924,259266,128408,205228,12251305,3982975,3213671,2496515,873662,1288840,264591,119157,209042,12450577,7900531,6357405,4946767,1727112,2579764,523857,247565,414270,24701882
Dec-2017,3927651,3158916,2457067,853964,1291759,259847,127896,205860,12285452,3992164,3228165,2506005,874530,1290804,265122,118962,210014,12487898,7919815,6387081,4963072,1728494,2582563,524969,246858,415874,24773350
Mar-2018,3947285,3182283,2469205,856620,1295056,260738,127631,207210,12348522,4009707,3250372,2519168,877234,1294760,266183,118993,211561,12550109,7956992,6432655,4988373,1733854,2589816,526921,246624,418771,24898631
Jun-2018,3959679,3197767,2479164,857882,1296675,261430,127988,207964,12391042,4020489,3264252,2530260,878645,1297506,266868,119070,212415,12591646,7980168,6462019,5009424,1736527,2594181,528298,247058,420379,24982688
Sep-2018,3976800,3216728,2489129,860129,1299760,262357,127833,208658,12443887,4037028,3282159,2541870,880938,1301417,267837,119156,213267,12645813,8013828,6498887,5030999,1741067,2601177,530194,246989,421925,25089700
Dec-2018,3987957,3231781,2497853,861101,1302028,263041,126956,209286,12482498,4048708,3296820,2552798,882493,1304366,268736,118840,213883,12688793,8036665,6528601,5050651,1743594,2606394,531777,245796,423169,25171291
Mar-2019,4005153,3254461,2509855,863888,1306862,263904,126851,210305,12543778,4064771,3318378,2565173,885477,1309666,269695,118909,214966,12749189,8069924,6572839,5075028,1749365,2616528,533599,245760,425271,25292967
Jun-2019,4014062,3266592,2518848,865519,1309659,264380,127017,210798,12579377,4073317,3330288,2575036,887162,1313600,270195,119126,215487,12786368,8087379,6596880,5093884,1752681,2623259,534575,246143,426285,25365745
Sep-2019,4028049,3284647,2529038,867896,1314854,264939,126576,211436,12629936,4088036,3348371,2587172,890057,1319855,270808,119499,216371,12842330,8116085,6633018,5116210,1757953,2634709,535747,246075,427807,25472266
Dec-2019,4037546,3297902,2538198,869179,1319888,266125,125881,211659,12668877,4099776,3362353,2598260,892193,1326244,272070,119374,216610,12889037,8137322,6660255,5136458,1761372,2646132,538195,245255,428269,25557914
Mar-2020,4050513,3312723,2550532,873016,1326426,266896,126053,212468,12721134,4114126,3378695,2611935,896013,1334126,272978,119800,217691,12947522,8164639,6691418,5162467,1769029,2660552,539874,245853,430159,25668656
Jun-2020,4051750,3313941,2556627,873516,1328252,267233,126278,212892,12732999,4115313,3379919,2618646,896763,1335975,273303,119945,218323,12960343,8167063,6693860,5175273,1770279,2664227,540536,246223,431215,25693342
Sep-2020,4049641,3304453,2560212,873436,1329301,267457,126353,212717,12726092,4113237,3370730,2622530,896779,1337811,273306,120181,218114,12954853,8162878,6675183,5182742,1770215,2667112,540763,246534,430831,25680945
Dec-2020,4052118,3295273,2565563,873331,1330438,267685,126180,212688,12725802,4116996,3361869,2627706,896978,1339558,273524,120273,218502,12957570,8169114,6657142,5193269,1770309,2669996,541209,246453,431190,25683372
Mar-2021,4056059,3291147,2572114,874071,1333214,268031,126515,213027,12736706,4120309,3357417,2634286,897632,1342583,273934,120508,218799,12967634,8176368,6648564,5206400,1771703,2675797,541965,247023,431826,25704340
