lng,lat,stop_name,,,,lng_2,lat_2
145.18598,-38.305659,Hastings Railway Station (Hastings),,,,145.18598,-38.305659
145.178027,-38.33739,Bittern Railway Station (Bittern),,,,145.178027,-38.33739
145.189602,-38.354033,Morradoo Railway Station (Crib Point),,,,145.189602,-38.354033
145.204043,-38.366123,Crib Point Railway Station (Crib Point),,,,145.204043,-38.366123
145.221837,-38.374235,Stony Point Railway Station (Crib Point),,,,145.221837,-38.374235
145.06819,-37.825894,East Camberwell Railway Station (Camberwell),,,,145.06819,-37.825894
144.997066,-37.8264,East Richmond Railway Station (Richmond),,,,144.997066,-37.8264
145.058697,-37.826567,Camberwell Railway Station (Camberwell),,,,145.058697,-37.826567
145.007555,-37.82756,Burnley Railway Station (Burnley),,,,145.007555,-37.82756
145.244555,-37.828322,Heathmont Railway Station (Heathmont),,,,145.244555,-37.828322
145.069646,-37.831505,Riversdale Railway Station (Camberwell),,,,145.069646,-37.831505
145.022635,-37.834672,Heyington Railway Station (Toorak),,,,145.022635,-37.834672
145.070298,-37.835716,Willison Railway Station (Camberwell),,,,145.070298,-37.835716
144.992342,-37.838449,South Yarra Railway Station (South Yarra),,,,144.992342,-37.838449
145.033552,-37.839929,Kooyong Railway Station (Kooyong),,,,145.033552,-37.839929
145.268136,-37.84173,Bayswater Railway Station (Bayswater),,,,145.268136,-37.84173
145.07556,-37.843985,Hartwell Railway Station (Camberwell),,,,145.07556,-37.843985
145.002142,-37.844591,Hawksburn Railway Station (South Yarra),,,,145.002142,-37.844591
145.041734,-37.849366,Tooronga Railway Station (Malvern),,,,145.041734,-37.849366
144.98986,-37.849518,Prahran Railway Station (Prahran),,,,144.98986,-37.849518
145.013909,-37.850774,Toorak Railway Station (Armadale),,,,145.013909,-37.850774
145.080511,-37.851563,Burwood Railway Station (Glen Iris),,,,145.080511,-37.851563
145.051655,-37.853279,Gardiner Railway Station (Glen Iris),,,,145.051655,-37.853279
144.992035,-37.856053,Windsor Railway Station (Windsor),,,,144.992035,-37.856053
145.019326,-37.856452,Armadale Railway Station (Armadale),,,,145.019326,-37.856452
145.058225,-37.859308,Glen Iris Railway Station (Glen Iris),,,,145.058225,-37.859308
145.284385,-37.860452,Boronia Railway Station (Boronia),,,,145.284385,-37.860452
145.081344,-37.861968,Ashburton Railway Station (Ashburton),,,,145.081344,-37.861968
145.029294,-37.866253,Malvern Railway Station (Malvern),,,,145.029294,-37.866253
145.079656,-37.86832,Alamein Railway Station (Ashburton),,,,145.079656,-37.86832
145.062951,-37.868957,Darling Railway Station (Malvern East),,,,145.062951,-37.868957
144.993512,-37.869488,Balaclava Railway Station (Balaclava),,,,144.993512,-37.869488
145.11209,-37.873603,Jordanville Railway Station (Mount Waverley),,,,145.11209,-37.873603
145.090662,-37.874402,Holmesglen Railway Station (Malvern East),,,,145.090662,-37.874402
145.128056,-37.875255,Mount Waverley Railway Station (Mount Waverley),,,,145.128056,-37.875255
144.995237,-37.875906,Ripponlea Railway Station (Ripponlea),,,,144.995237,-37.875906
145.14978,-37.87623,Syndal Railway Station (Glen Waverley),,,,145.14978,-37.87623
145.069393,-37.87693,East Malvern Railway Station (Malvern East),,,,145.069393,-37.87693
145.042525,-37.877459,Caulfield Railway Station (Caulfield East),,,,145.042525,-37.877459
145.162058,-37.879504,Glen Waverley Railway Station (Glen Waverley),,,,145.162058,-37.879504
145.295251,-37.881698,Ferntree Gully Railway Station (Ferntree Gully),,,,145.295251,-37.881698
145.000898,-37.884753,Elsternwick Railway Station (Elsternwick),,,,145.000898,-37.884753
145.058575,-37.886241,Carnegie Railway Station (Carnegie),,,,145.058575,-37.886241
145.042223,-37.889719,Glenhuntly Railway Station (Glen Huntly),,,,145.042223,-37.889719
145.067375,-37.890198,Murrumbeena Railway Station (Murrumbeena),,,,145.067375,-37.890198
145.30753,-37.892672,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),,,,145.30753,-37.892672
145.077635,-37.894881,Hughesdale Railway Station (Hughesdale),,,,145.077635,-37.894881
145.004168,-37.896695,Gardenvale Railway Station (Brighton),,,,145.004168,-37.896695
145.088308,-37.900372,Oakleigh Railway Station (Oakleigh),,,,145.088308,-37.900372
145.039613,-37.903212,Ormond Railway Station (Ormond),,,,145.039613,-37.903212
145.331333,-37.903691,Upwey Railway Station (Upwey),,,,145.331333,-37.903691
145.002605,-37.904887,North Brighton Railway Station (Brighton),,,,145.002605,-37.904887
145.342995,-37.908118,Tecoma Railway Station (Tecoma),,,,145.342995,-37.908118
145.355291,-37.909102,Belgrave Railway Station (Belgrave),,,,145.355291,-37.909102
144.959587,-37.767721,Brunswick Railway Station (Brunswick),,,,144.959587,-37.767721
144.995277,-37.769865,Northcote Railway Station (Northcote),,,,144.995277,-37.769865
144.958717,-37.774987,Jewell Railway Station (Brunswick),,,,144.958717,-37.774987
144.921821,-37.775306,Ascot Vale Railway Station (Ascot Vale),,,,144.921821,-37.775306
144.824704,-37.777653,Albion Railway Station (Sunshine North),,,,144.824704,-37.777653
144.952301,-37.781193,Royal Park Railway Station (Parkville),,,,144.952301,-37.781193
144.928978,-37.787328,Newmarket Railway Station (Flemington),,,,144.928978,-37.787328
144.939323,-37.78814,Flemington Bridge Railway Station (North Melbourne),,,,144.939323,-37.78814
144.832878,-37.788536,Sunshine Railway Station (Sunshine),,,,144.832878,-37.788536
144.930524,-37.79378,Kensington Railway Station (Kensington),,,,144.930524,-37.79378
144.936166,-37.794267,Macaulay Railway Station (North Melbourne),,,,144.936166,-37.794267
144.862945,-37.799251,Tottenham Railway Station (West Footscray),,,,144.862945,-37.799251
144.925469,-37.799531,South Kensington Railway Station (Kensington),,,,144.925469,-37.799531
144.903199,-37.801083,Footscray Railway Station (Footscray),,,,144.903199,-37.801083
144.883985,-37.801803,West Footscray Railway Station (West Footscray),,,,144.883985,-37.801803
144.891472,-37.802505,Middle Footscray Railway Station (Footscray),,,,144.891472,-37.802505
144.94257,-37.807419,North Melbourne Railway Station (West Melbourne),,,,144.94257,-37.807419
144.895672,-37.809005,Seddon Railway Station (Seddon),,,,144.895672,-37.809005
144.962594,-37.809939,Melbourne Central Railway Station (Melbourne City),,,,144.962594,-37.809939
144.955654,-37.811981,Flagstaff Railway Station (Melbourne City),,,,144.955654,-37.811981
144.889934,-37.81585,Yarraville Railway Station (Yarraville),,,,144.889934,-37.81585
144.951411,-37.817936,Southern Cross Railway Station (Melbourne City),,,,144.951411,-37.817936
144.966964,-37.818305,Flinders Street Railway Station (Melbourne City),,,,144.966964,-37.818305
144.885933,-37.830639,Spotswood Railway Station (Spotswood),,,,144.885933,-37.830639
144.8836,-37.842718,Newport Railway Station (Newport),,,,144.8836,-37.842718
144.889069,-37.857333,North Williamstown Railway Station (Williamstown),,,,144.889069,-37.857333
144.772617,-37.863694,Laverton Railway Station (Laverton),,,,144.772617,-37.863694
144.894484,-37.863982,Williamstown Beach Railway Station (Williamstown),,,,144.894484,-37.863982
144.813494,-37.865163,Westona Railway Station (Altona),,,,144.813494,-37.865163
144.760809,-37.866606,Aircraft Railway Station (Laverton),,,,144.760809,-37.866606
144.829645,-37.867148,Altona Railway Station (Altona),,,,144.829645,-37.867148
144.905323,-37.867753,Williamstown Railway Station (Williamstown),,,,144.905323,-37.867753
144.840958,-37.867842,Seaholme Railway Station (Seaholme),,,,144.840958,-37.867842
144.747445,-37.869865,Williams Landing Railway Station (Williams Landing),,,,144.747445,-37.869865
144.700955,-37.883276,Hoppers Crossing Railway Station (Hoppers Crossing),,,,144.700955,-37.883276
144.661118,-37.899378,Werribee Railway Station (Werribee),,,,144.661118,-37.899378
145.100885,-37.602548,Mernda Railway Station (Mernda),,,,145.100885,-37.602548
145.097396,-37.622995,Hawkstowe Railway Station (South Morang),,,,145.097396,-37.622995
145.192017,-37.639398,Hurstbridge Railway Station (Hurstbridge),,,,145.192017,-37.639398
145.092144,-37.644061,Middle Gorge Railway Station (South Morang),,,,145.092144,-37.644061
145.067032,-37.649159,South Morang Railway Station (South Morang),,,,145.067032,-37.649159
145.181615,-37.663968,Wattle Glen Railway Station (Wattle Glen),,,,145.181615,-37.663968
145.158506,-37.673297,Diamond Creek Railway Station (Diamond Creek),,,,145.158506,-37.673297
145.108247,-37.703954,Greensborough Railway Station (Greensborough),,,,145.108247,-37.703954
145.083793,-37.710958,Watsonia Railway Station (Watsonia),,,,145.083793,-37.710958
145.147822,-37.71355,Eltham Railway Station (Eltham),,,,145.147822,-37.71355
145.121516,-37.715296,Montmorency Railway Station (Montmorency),,,,145.121516,-37.715296
145.069143,-37.726012,Macleod Railway Station (Macleod),,,,145.069143,-37.726012
145.06614,-37.742879,Rosanna Railway Station (Rosanna),,,,145.06614,-37.742879
145.34771,-37.755518,Lilydale Railway Station (Lilydale),,,,145.34771,-37.755518
145.060686,-37.757073,Heidelberg Railway Station (Heidelberg),,,,145.060686,-37.757073
145.053943,-37.763586,Eaglemont Railway Station (Eaglemont),,,,145.053943,-37.763586
145.045425,-37.768897,Ivanhoe Railway Station (Ivanhoe),,,,145.045425,-37.768897
145.038476,-37.774963,Darebin Railway Station (Ivanhoe),,,,145.038476,-37.774963
144.992972,-37.777847,Merri Railway Station (Northcote),,,,144.992972,-37.777847
145.031255,-37.778394,Alphington Railway Station (Alphington),,,,145.031255,-37.778394
145.016905,-37.779171,Fairfield Railway Station (Fairfield),,,,145.016905,-37.779171
145.008242,-37.779187,Dennis Railway Station (Northcote),,,,145.008242,-37.779187
144.999233,-37.780621,Westgarth Railway Station (Northcote),,,,144.999233,-37.780621
144.992407,-37.783217,Rushall Railway Station (Fitzroy North),,,,144.992407,-37.783217
145.312402,-37.784749,Mooroolbark Railway Station (Mooroolbark),,,,145.312402,-37.784749
144.995417,-37.788657,Clifton Hill Railway Station (Clifton Hill),,,,144.995417,-37.788657
145.280598,-37.795437,Croydon Railway Station (Croydon),,,,145.280598,-37.795437
144.994451,-37.799158,Victoria Park Railway Station (Abbotsford),,,,144.994451,-37.799158
144.99375,-37.804526,Collingwood Railway Station (Abbotsford),,,,144.99375,-37.804526
144.9925,-37.810398,North Richmond Railway Station (Richmond),,,,144.9925,-37.810398
144.972911,-37.811054,Parliament Railway Station (Melbourne City),,,,144.972911,-37.811054
145.250191,-37.811968,Ringwood East Railway Station (Ringwood East),,,,145.250191,-37.811968
144.991423,-37.814949,West Richmond Railway Station (Richmond),,,,144.991423,-37.814949
145.229474,-37.81566,Ringwood Railway Station (Ringwood),,,,145.229474,-37.81566
144.984098,-37.816527,Jolimont-MCG Railway Station (East Melbourne),,,,144.984098,-37.816527
145.192892,-37.818087,Mitcham Railway Station (Mitcham),,,,145.192892,-37.818087
145.21355,-37.818835,Heatherdale Railway Station (Ringwood),,,,145.21355,-37.818835
145.121429,-37.819222,Box Hill Railway Station (Box Hill),,,,145.121429,-37.819222
145.10553,-37.819427,Mont Albert Railway Station (Mont Albert),,,,145.10553,-37.819427
145.150014,-37.820071,Blackburn Railway Station (Blackburn),,,,145.150014,-37.820071
145.175237,-37.820428,Nunawading Railway Station (Nunawading),,,,145.175237,-37.820428
145.140703,-37.82078,Laburnum Railway Station (Blackburn),,,,145.140703,-37.82078
145.036439,-37.821467,Glenferrie Railway Station (Hawthorn),,,,145.036439,-37.821467
145.022899,-37.821826,Hawthorn Railway Station (Hawthorn),,,,145.022899,-37.821826
145.045844,-37.822398,Auburn Railway Station (Hawthorn East),,,,145.045844,-37.822398
144.990164,-37.824074,Richmond Railway Station (Richmond),,,,144.990164,-37.824074
145.098775,-37.824148,Surrey Hills Railway Station (Surrey Hills),,,,145.098775,-37.824148
145.088648,-37.8243,Chatham Railway Station (Surrey Hills),,,,145.088648,-37.8243
145.081224,-37.824485,Canterbury Railway Station (Canterbury),,,,145.081224,-37.824485
144.727319,-37.579091,Sunbury Railway Station (Sunbury),,,,144.727319,-37.579091
144.94332,-37.601817,Craigieburn Railway Station (Craigieburn),,,,144.94332,-37.601817
144.719922,-37.627017,Diggers Rest Railway Station (Diggers Rest),,,,144.719922,-37.627017
144.935404,-37.638231,Roxburgh Park Railway Station (Roxburgh Park),,,,144.935404,-37.638231
145.031068,-37.652187,Epping Railway Station (Epping),,,,145.031068,-37.652187
144.926056,-37.661003,Coolaroo Railway Station (Coolaroo),,,,144.926056,-37.661003
145.017193,-37.665851,Lalor Railway Station (Lalor),,,,145.017193,-37.665851
144.94674,-37.666078,Upfield Railway Station (Coolaroo),,,,144.94674,-37.666078
145.014279,-37.680338,Thomastown Railway Station (Thomastown),,,,145.014279,-37.680338
144.919613,-37.683049,Broadmeadows Railway Station (Broadmeadows),,,,144.919613,-37.683049
145.011884,-37.69487,Keon Park Railway Station (Thomastown),,,,145.011884,-37.69487
144.915851,-37.695131,Jacana Railway Station (Glenroy),,,,144.915851,-37.695131
144.958874,-37.700678,Gowrie Railway Station (Glenroy),,,,144.958874,-37.700678
144.77418,-37.701129,Watergardens Railway Station (Sydenham),,,,144.77418,-37.701129
144.91722,-37.704536,Glenroy Railway Station (Glenroy),,,,144.91722,-37.704536
145.009517,-37.707898,Ruthven Railway Station (Reservoir),,,,145.009517,-37.707898
144.960545,-37.714621,Fawkner Railway Station (Fawkner),,,,144.960545,-37.714621
145.006996,-37.716885,Reservoir Railway Station (Reservoir),,,,145.006996,-37.716885
144.921519,-37.71795,Oak Park Railway Station (Oak Park),,,,144.921519,-37.71795
144.961314,-37.720934,Merlynston Railway Station (Coburg North),,,,144.961314,-37.720934
145.002773,-37.728403,Regent Railway Station (Reservoir),,,,145.002773,-37.728403
144.793738,-37.729279,Keilor Plains Railway Station (St Albans),,,,144.793738,-37.729279
144.928196,-37.730756,Pascoe Vale Railway Station (Pascoe Vale),,,,144.928196,-37.730756
144.962841,-37.733523,Batman Railway Station (Coburg North),,,,144.962841,-37.733523
145.000522,-37.738674,Preston Railway Station (Preston),,,,145.000522,-37.738674
144.963336,-37.742345,Coburg Railway Station (Coburg),,,,144.963336,-37.742345
144.927316,-37.743591,Strathmore Railway Station (Strathmore),,,,144.927316,-37.743591
144.80005,-37.744861,St Albans Railway Station (St Albans),,,,144.80005,-37.744861
145.000155,-37.745562,Bell Railway Station (Preston),,,,145.000155,-37.745562
144.920939,-37.74721,Glenbervie Railway Station (Essendon),,,,144.920939,-37.74721
144.961823,-37.754485,Moreland Railway Station (Coburg),,,,144.961823,-37.754485
144.998572,-37.755052,Thornbury Railway Station (Thornbury),,,,144.998572,-37.755052
144.916198,-37.756012,Essendon Railway Station (Essendon),,,,144.916198,-37.756012
144.811348,-37.760067,Ginifer Railway Station (St Albans),,,,144.811348,-37.760067
144.960684,-37.761242,Anstey Railway Station (Brunswick),,,,144.960684,-37.761242
144.997056,-37.764101,Croxton Railway Station (Northcote),,,,144.997056,-37.764101
144.919161,-37.765707,Moonee Ponds Railway Station (Moonee Ponds),,,,144.919161,-37.765707
