Country,Region,Sea-LevelRiseScenarios,ImpactedGDP ,PercentageofGDPimpacted,Region2,Sea-Level Rise Scenarios2,PercentageofGDPimpacted2,ImpactedGDP2
Morocco,Middle East / North Africa,Onemeter,141,0.143890765,,,,
Oman,Middle East / North Africa,Onemeter,244,0.840857399,,,,
Qatar,Middle East / North Africa,Onemeter,274,1.814569536,,,,
Saudi Arabia,Middle East / North Africa,Onemeter,417,0.149504162,,,,
United Arab Emirates,Middle East / North Africa,Onemeter,1087,2.012962963,,,,
Tunisia,Middle East / North Africa,Onemeter,1718,2.933041964,,,,
Western Sahara,Middle East / North Africa,Onemeter,1,0.131233596,,,,
Yemen,Middle East / North Africa,Onemeter,69,0.494481869,,,,
Algeria,Middle East / North Africa,Twometer,1140,0.609945319,,,,
Egypt,Middle East / North Africa,Twometer,21198,9.540655127,,,,
Iran,Middle East / North Africa,Twometer,1461,0.400934141,,,,
Kuwait,Middle East / North Africa,Twometer,632,1.696097901,,,,
Libya,Middle East / North Africa,Twometer,1016,2.237885463,,,,
Morocco,Middle East / North Africa,Twometer,259,0.264309988,,,,
Oman,Middle East / North Africa,Twometer,263,0.906334,,,,
Qatar,Middle East / North Africa,Twometer,441,2.920529801,,,,
Saudi Arabia,Middle East / North Africa,Twometer,614,0.220133227,,,,
United Arab Emirates,Middle East / North Africa,Twometer,1586,2.937037037,,,,
Tunisia,Middle East / North Africa,Twometer,1965,3.354730768,,,,
Western Sahara,Middle East / North Africa,Twometer,1,0.131233596,,,,
Yemen,Middle East / North Africa,Twometer,69,0.494481869,,,,
Algeria,Middle East / North Africa,Threemeter,1210,0.647398102,,,,
Egypt,Middle East / North Africa,Threemeter,26952,12.13037725,,,,
Iran,Middle East / North Africa,Threemeter,2145,0.588640474,,,,
Kuwait,Middle East / North Africa,Threemeter,677,1.816864366,,,,
Libya,Middle East / North Africa,Threemeter,1094,2.40969163,,,,
Morocco,Middle East / North Africa,Threemeter,470,0.479635885,,,,
Oman,Middle East / North Africa,Threemeter,396,1.364670205,,,,
Qatar,Middle East / North Africa,Threemeter,651,4.311258278,,,,
Saudi Arabia,Middle East / North Africa,Threemeter,826,0.29614014,,,,
United Arab Emirates,Middle East / North Africa,Threemeter,1751,3.242592593,,,,
Tunisia,Middle East / North Africa,Threemeter,2855,4.874176256,,,,
Western Sahara,Middle East / North Africa,Threemeter,2,0.262467192,,,,
Yemen,Middle East / North Africa,Threemeter,83,0.594811524,,,,
Algeria,Middle East / North Africa,Fourmeter,2059,1.101646852,,,,
Egypt,Middle East / North Africa,Fourmeter,31223,14.05264058,,,,
Iran,Middle East / North Africa,Fourmeter,2868,0.787049361,,,,
Kuwait,Middle East / North Africa,Fourmeter,1147,3.078202995,,,,
Libya,Middle East / North Africa,Fourmeter,1215,2.676211454,,,,
Morocco,Middle East / North Africa,Fourmeter,535,0.545968507,,,,
Oman,Middle East / North Africa,Fourmeter,492,1.695499345,,,,
Qatar,Middle East / North Africa,Fourmeter,999,6.61589404,,,,
Saudi Arabia,Middle East / North Africa,Fourmeter,1075,0.385412409,,,,
United Arab Emirates,Middle East / North Africa,Fourmeter,1932,3.577777778,,,,
Tunisia,Middle East / North Africa,Fourmeter,3301,5.635606242,,,,
Western Sahara,Middle East / North Africa,Fourmeter,2,0.262467192,,,,
Yemen,Middle East / North Africa,Fourmeter,99,0.709473986,,,,
Algeria,Middle East / North Africa,Fivemeter,2196,1.174947299,,,,
Egypt,Middle East / North Africa,Fivemeter,36214,16.29895673,,,,
Iran,Middle East / North Africa,Fivemeter,3645,1.000277169,,,,
Kuwait,Middle East / North Africa,Fivemeter,1374,3.687402716,,,,
Libya,Middle East / North Africa,Fivemeter,1299,2.86123348,,,,
Morocco,Middle East / North Africa,Fivemeter,609,0.621485647,,,,
Oman,Middle East / North Africa,Fivemeter,605,2.084912813,,,,
Qatar,Middle East / North Africa,Fivemeter,1476,9.774834437,,,,
Saudi Arabia,Middle East / North Africa,Fivemeter,1402,0.502649486,,,,
United Arab Emirates,Middle East / North Africa,Fivemeter,2364,4.377777778,,,,
Tunisia,Middle East / North Africa,Fivemeter,4260,7.272851436,,,,
Western Sahara,Middle East / North Africa,Fivemeter,3,0.393700787,,,,
Yemen,Middle East / North Africa,Fivemeter,114,0.816970044,,,,
Angola,Sub-Saharan Africa,Onemeter,48,0.17357972,,,,
Benin,Sub-Saharan Africa,Onemeter,336,5.635692721,,,,
"Congo, Rep.",Sub-Saharan Africa,Onemeter,0,0,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Onemeter,9,0.02410865,,,,
Cameroon,Sub-Saharan Africa,Onemeter,19,0.077913557,,,,
Djibouti,Sub-Saharan Africa,Onemeter,5,0.336247478,,,,
Equatorial Guinea,Sub-Saharan Africa,Onemeter,0,0,,,,
Ethiopia,Sub-Saharan Africa,Onemeter,173,0.351333239,,,,
Gambia,Sub-Saharan Africa,Onemeter,19,0.740163615,,,,
Gabon,Sub-Saharan Africa,Onemeter,9,0.121868653,,,,
Ghana,Sub-Saharan Africa,Onemeter,356,0.843342098,,,,
Guinea,Sub-Saharan Africa,Onemeter,46,0.324537886,,,,
Ivory Coast,Sub-Saharan Africa,Onemeter,267,1.105178194,,,,
Kenya,Sub-Saharan Africa,Onemeter,40,0.135030213,,,,
Liberia,Sub-Saharan Africa,Onemeter,36,1.074626866,,,,
Madagascar,Sub-Saharan Africa,Onemeter,29,0.230579629,,,,
Mauritania,Sub-Saharan Africa,Onemeter,465,9.35237329,,,,
Mozambique,Sub-Saharan Africa,Onemeter,47,0.266138165,,,,
Nigeria,Sub-Saharan Africa,Onemeter,250,0.228494132,,,,
Guinea-Bissau,Sub-Saharan Africa,Onemeter,5,0.434782609,,,,
South Africa,Sub-Saharan Africa,Onemeter,35,0.007439432,,,,
Senegal,Sub-Saharan Africa,Onemeter,158,1.140958983,,,,
Sierra Leone,Sub-Saharan Africa,Onemeter,4,0.175054705,,,,
Somalia,Sub-Saharan Africa,Onemeter,4,0.093023256,,,,
Sudan,Sub-Saharan Africa,Onemeter,15,0.024143703,,,,
Togo,Sub-Saharan Africa,Onemeter,11,0.146803683,,,,
Sao Tome and Principe,Sub-Saharan Africa,Onemeter,0,0,,,,
Tanzania,Sub-Saharan Africa,Onemeter,11,0.064572938,,,,
Namibia,Sub-Saharan Africa,Onemeter,4,0.0322139,,,,
Angola,Sub-Saharan Africa,Twometer,115,0.415868079,,,,
Benin,Sub-Saharan Africa,Twometer,550,9.225092251,,,,
"Congo, Rep.",Sub-Saharan Africa,Twometer,3,0.10413051,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Twometer,17,0.04553856,,,,
Cameroon,Sub-Saharan Africa,Twometer,19,0.077913557,,,,
Djibouti,Sub-Saharan Africa,Twometer,5,0.336247478,,,,
Equatorial Guinea,Sub-Saharan Africa,Twometer,1,0.104166667,,,,
Ethiopia,Sub-Saharan Africa,Twometer,181,0.367579862,,,,
Gambia,Sub-Saharan Africa,Twometer,56,2.181534866,,,,
Gabon,Sub-Saharan Africa,Twometer,12,0.162491537,,,,
Ghana,Sub-Saharan Africa,Twometer,458,1.084973823,,,,
Guinea,Sub-Saharan Africa,Twometer,364,2.568082404,,,,
Ivory Coast,Sub-Saharan Africa,Twometer,280,1.158988369,,,,
Kenya,Sub-Saharan Africa,Twometer,44,0.148533234,,,,
Liberia,Sub-Saharan Africa,Twometer,36,1.074626866,,,,
Madagascar,Sub-Saharan Africa,Twometer,58,0.461159259,,,,
Mauritania,Sub-Saharan Africa,Twometer,718,14.44086887,,,,
