Suburb,Month,Year,avg_price,
CLAYTON SOUTH,8,2017,1828889,August
CLAYTON SOUTH,8,2016,1318842,August
CLAYTON SOUTH,9,2016,848397,September
CLAYTON SOUTH,9,2017,460000,September
CLAYTON SOUTH,10,2017,1443076,October
CLAYTON SOUTH,10,2016,962576,October
CLAYTON SOUTH,11,2016,548157,November
CLAYTON SOUTH,11,2017,548157,November
CLAYTON SOUTH,12,2016,536716,December
CLAYTON SOUTH,12,2017,536716,December
CLIFTON HILL,1,2017,854000,January
CLIFTON HILL,1,2016,835568,January
CLIFTON HILL,2,2016,620000,February
CLIFTON HILL,2,2017,620000,February
CLIFTON HILL,3,2017,1003441,March
CLIFTON HILL,3,2016,977408,March
CLIFTON HILL,4,2017,1204502,April
CLIFTON HILL,4,2016,968542,April
CLIFTON HILL,5,2017,1263896,May
CLIFTON HILL,5,2016,1227816,May
CLIFTON HILL,6,2016,746000,June
CLIFTON HILL,6,2017,742214,June
CLIFTON HILL,7,2016,532729,July
CLIFTON HILL,7,2017,532729,July
CLIFTON HILL,8,2017,2093750,August
CLIFTON HILL,8,2016,2050000,August
CLIFTON HILL,9,2017,800000,September
CLIFTON HILL,9,2016,621610,September
CLIFTON HILL,10,2016,1781146,October
CLIFTON HILL,10,2017,1540000,October
CLIFTON HILL,11,2017,822980,November
CLIFTON HILL,11,2016,661667,November
CLIFTON HILL,12,2016,722701,December
CLIFTON HILL,12,2017,722701,December
COBURG,1,2017,799071,January
COBURG,1,2016,590000,January
COBURG,2,2016,661133,February
COBURG,2,2017,661133,February
COBURG,3,2016,1894136,March
COBURG,3,2017,1031830,March
COBURG,4,2017,1182340,April
COBURG,4,2016,1159800,April
COBURG,5,2017,1543278,May
COBURG,5,2016,1471932,May
COBURG,6,2017,1117571,June
COBURG,6,2016,997318,June
COBURG,7,2016,1267974,July
COBURG,7,2017,1267974,July
COBURG,8,2016,836250,August
COBURG,8,2017,836250,August
COBURG,9,2016,640000,September
COBURG,9,2017,640000,September
COBURG,10,2017,952927,October
COBURG,10,2016,713100,October
COBURG,11,2016,740292,November
COBURG,11,2017,465000,November
COBURG,12,2016,1576472,December
COBURG,12,2017,1296580,December
COBURG NORTH,1,2016,1916996,January
COBURG NORTH,1,2017,1821599,January
COBURG NORTH,2,2016,710710,February
COBURG NORTH,2,2017,710710,February
COBURG NORTH,3,2016,724049,March
COBURG NORTH,3,2017,724049,March
COBURG NORTH,4,2016,581333,April
COBURG NORTH,4,2017,581333,April
COBURG NORTH,5,2016,675000,May
COBURG NORTH,5,2017,675000,May
COBURG NORTH,6,2016,1802798,June
COBURG NORTH,6,2017,1802798,June
COBURG NORTH,7,2017,849434,July
COBURG NORTH,7,2016,770000,July
COBURG NORTH,8,2016,1572660,August
COBURG NORTH,8,2017,960861,August
COBURG NORTH,9,2017,1102709,September
COBURG NORTH,9,2016,971800,September
COBURG NORTH,10,2016,762123,October
COBURG NORTH,10,2017,762123,October
COBURG NORTH,11,2016,1189977,November
COBURG NORTH,11,2017,1189977,November
COBURG NORTH,12,2016,1306116,December
COBURG NORTH,12,2017,1306116,December
COLLINGWOOD,1,2016,1119739,January
COLLINGWOOD,1,2017,1119739,January
COLLINGWOOD,2,2016,1117430,February
COLLINGWOOD,2,2017,1117430,February
COLLINGWOOD,3,2016,989222,March
COLLINGWOOD,3,2017,989222,March
COLLINGWOOD,4,2016,759134,April
COLLINGWOOD,4,2017,759134,April
COLLINGWOOD,5,2017,1428687,May
COLLINGWOOD,5,2016,1056667,May
COLLINGWOOD,6,2017,692386,June
COLLINGWOOD,6,2016,664424,June
COLLINGWOOD,7,2016,720710,July
COLLINGWOOD,7,2017,720710,July
COLLINGWOOD,8,2017,2499042,August
COLLINGWOOD,8,2016,1658295,August
COLLINGWOOD,9,2016,1701288,September
COLLINGWOOD,9,2017,1583170,September
COLLINGWOOD,10,2016,511154,October
COLLINGWOOD,10,2017,511154,October
COLLINGWOOD,11,2016,456000,November
COLLINGWOOD,11,2017,456000,November
COLLINGWOOD,12,2017,676250,December
COLLINGWOOD,12,2016,639460,December
COOLAROO,1,2017,955500,January
COOLAROO,1,2016,914194,January
COOLAROO,2,2016,1023000,February
COOLAROO,2,2017,821254,February
COOLAROO,3,2016,879250,March
COOLAROO,3,2017,860354,March
COOLAROO,4,2016,1150500,April
COOLAROO,4,2017,1144144,April
COOLAROO,5,2016,806597,May
COOLAROO,5,2017,806597,May
COOLAROO,6,2017,1039251,June
COOLAROO,6,2016,881000,June
COOLAROO,7,2016,628438,July
COOLAROO,7,2017,628438,July
COOLAROO,8,2016,573840,August
COOLAROO,8,2017,573840,August
COOLAROO,9,2016,1449832,September
COOLAROO,9,2017,1241038,September
COOLAROO,10,2016,1021224,October
COOLAROO,10,2017,1021224,October
COOLAROO,11,2016,675515,November
COOLAROO,11,2017,675515,November
COOLAROO,12,2016,1618702,December
COOLAROO,12,2017,1388154,December
CRAIGIEBURN,1,2016,650000,January
CRAIGIEBURN,1,2017,650000,January
CRAIGIEBURN,2,2017,2014000,February
CRAIGIEBURN,2,2016,1317238,February
CRAIGIEBURN,3,2016,1199899,March
CRAIGIEBURN,3,2017,876250,March
CRAIGIEBURN,4,2016,1867000,April
CRAIGIEBURN,4,2017,550000,April
CRAIGIEBURN,5,2016,981867,May
CRAIGIEBURN,5,2017,759795,May
CRAIGIEBURN,6,2016,654889,June
CRAIGIEBURN,6,2017,654889,June
CRAIGIEBURN,7,2016,739998,July
CRAIGIEBURN,7,2017,739998,July
CRAIGIEBURN,8,2016,542756,August
CRAIGIEBURN,8,2017,542756,August
CRAIGIEBURN,9,2016,1220000,September
CRAIGIEBURN,9,2017,496656,September
CRAIGIEBURN,10,2016,968762,October
CRAIGIEBURN,10,2017,968762,October
CRAIGIEBURN,11,2016,1059422,November
CRAIGIEBURN,11,2017,532500,November
CRAIGIEBURN,12,2016,1043500,December
CRAIGIEBURN,12,2017,965667,December
CRANBOURNE,1,2017,977565,January
CRANBOURNE,1,2016,916500,January
CRANBOURNE,2,2016,767100,February
CRANBOURNE,2,2017,767100,February
CRANBOURNE,3,2016,756450,March
CRANBOURNE,3,2017,756450,March
CRANBOURNE,4,2016,998321,April
CRANBOURNE,4,2017,998321,April
CRANBOURNE,5,2016,911982,May
CRANBOURNE,5,2017,911982,May
CRANBOURNE,6,2016,891144,June
CRANBOURNE,6,2017,891144,June
CRANBOURNE,7,2016,1213495,July
CRANBOURNE,7,2017,1213495,July
CRANBOURNE,8,2016,794963,August
CRANBOURNE,8,2017,794963,August
CRANBOURNE,9,2016,1182743,September
CRANBOURNE,9,2017,1041800,September
CRANBOURNE,10,2017,951047,October
CRANBOURNE,10,2016,749722,October
CRANBOURNE,11,2017,827562,November
CRANBOURNE,11,2016,614336,November
CRANBOURNE,12,2016,1272500,December
CRANBOURNE,12,2017,962626,December
CRANBOURNE NORTH,1,2016,440500,January
CRANBOURNE NORTH,1,2017,440500,January
CRANBOURNE NORTH,2,2016,556092,February
CRANBOURNE NORTH,2,2017,556092,February
CRANBOURNE NORTH,3,2016,574751,March
CRANBOURNE NORTH,3,2017,574751,March
CRANBOURNE NORTH,4,2016,585000,April
CRANBOURNE NORTH,4,2017,585000,April
CRANBOURNE NORTH,5,2016,962067,May
CRANBOURNE NORTH,5,2017,855000,May
CRANBOURNE NORTH,6,2016,869839,June
CRANBOURNE NORTH,6,2017,869839,June
CRANBOURNE NORTH,7,2016,894490,July
CRANBOURNE NORTH,7,2017,894490,July
CRANBOURNE NORTH,8,2016,798075,August
CRANBOURNE NORTH,8,2017,798075,August
CRANBOURNE NORTH,9,2016,910000,September
CRANBOURNE NORTH,9,2017,910000,September
CRANBOURNE NORTH,10,2016,443711,October
CRANBOURNE NORTH,10,2017,443711,October
CRANBOURNE NORTH,11,2016,614432,November
CRANBOURNE NORTH,11,2017,614432,November
CRANBOURNE NORTH,12,2016,627252,December
CRANBOURNE NORTH,12,2017,627252,December
CREMORNE,1,2016,1715000,January
CREMORNE,1,2017,1715000,January
CREMORNE,2,2016,588755,February
CREMORNE,2,2017,588755,February
CREMORNE,3,2016,520552,March
CREMORNE,3,2017,520552,March
CREMORNE,4,2016,729167,April
CREMORNE,4,2017,729167,April
CREMORNE,5,2016,723896,May
CREMORNE,5,2017,723896,May
CREMORNE,6,2016,470500,June
CREMORNE,6,2017,470500,June
CREMORNE,7,2016,913841,July
CREMORNE,7,2017,913841,July
CREMORNE,8,2016,865000,August
CREMORNE,8,2017,360000,August
CREMORNE,9,2017,1376076,September
CREMORNE,9,2016,1119238,September
CREMORNE,10,2016,1343874,October
CREMORNE,10,2017,1343874,October
CREMORNE,11,2016,1223300,November
CREMORNE,11,2017,1223300,November
CREMORNE,12,2016,494500,December
CREMORNE,12,2017,494500,December
CROYDON,1,2016,489045,January
CROYDON,1,2017,489045,January
CROYDON,2,2017,2072600,February
CROYDON,2,2016,600000,February
CROYDON,3,2016,1405216,March
CROYDON,3,2017,925750,March
CROYDON,4,2016,931878,April
CROYDON,4,2017,931878,April
CROYDON,5,2016,1370400,May
CROYDON,5,2017,923500,May
CROYDON,6,2016,875215,June
CROYDON,6,2017,875215,June
CROYDON,7,2016,892514,July
CROYDON,7,2017,892514,July
CROYDON,8,2017,1107526,August
CROYDON,8,2016,927750,August
CROYDON,9,2016,655000,September
CROYDON,9,2017,655000,September
CROYDON,10,2016,642639,October
CROYDON,10,2017,642639,October
CROYDON,11,2016,564604,November
CROYDON,11,2017,564604,November
CROYDON,12,2017,873560,December
CROYDON,12,2016,870500,December
CROYDON HILLS,1,2016,882186,January
CROYDON HILLS,1,2017,775700,January
CROYDON HILLS,2,2017,1053582,February
CROYDON HILLS,2,2016,1003605,February
CROYDON HILLS,3,2017,1327583,March
CROYDON HILLS,3,2016,1065000,March
CROYDON HILLS,4,2016,627864,April
CROYDON HILLS,4,2017,615941,April
CROYDON HILLS,5,2016,788473,May
CROYDON HILLS,5,2017,788473,May
CROYDON HILLS,6,2016,1268608,June
CROYDON HILLS,6,2017,1188611,June
CROYDON HILLS,7,2016,1260286,July
CROYDON HILLS,7,2017,1072073,July
CROYDON HILLS,8,2017,854486,August
CROYDON HILLS,8,2016,685333,August
CROYDON HILLS,9,2017,894190,September
CROYDON HILLS,9,2016,612373,September
CROYDON HILLS,10,2016,961962,October
CROYDON HILLS,10,2017,961962,October
CROYDON HILLS,11,2016,650681,November
CROYDON HILLS,11,2017,650681,November
CROYDON HILLS,12,2016,496000,December
CROYDON HILLS,12,2017,496000,December
CROYDON NORTH,1,2016,1059161,January
CROYDON NORTH,1,2017,1059161,January
CROYDON NORTH,2,2017,1250000,February
CROYDON NORTH,2,2016,1021333,February
CROYDON NORTH,3,2016,619607,March
CROYDON NORTH,3,2017,619607,March
CROYDON NORTH,4,2016,659332,April
CROYDON NORTH,4,2017,659332,April
CROYDON NORTH,5,2016,887530,May
CROYDON NORTH,5,2017,534750,May
CROYDON NORTH,6,2016,1732183,June
CROYDON NORTH,6,2017,1464349,June
CROYDON NORTH,7,2016,1309248,July
CROYDON NORTH,7,2017,1309248,July
CROYDON NORTH,8,2017,726075,August
CROYDON NORTH,8,2016,529840,August
CROYDON NORTH,9,2017,797000,September
CROYDON NORTH,9,2016,525000,September
CROYDON NORTH,10,2016,819293,October
CROYDON NORTH,10,2017,819293,October
CROYDON NORTH,11,2016,736561,November
CROYDON NORTH,11,2017,736561,November
CROYDON NORTH,12,2017,755000,December
CROYDON NORTH,12,2016,510000,December
CROYDON SOUTH,1,2016,760917,January
CROYDON SOUTH,1,2017,760917,January
CROYDON SOUTH,2,2016,1567104,February
CROYDON SOUTH,2,2017,1289233,February
CROYDON SOUTH,3,2016,1225000,March
CROYDON SOUTH,3,2017,976614,March
CROYDON SOUTH,4,2016,565458,April
CROYDON SOUTH,4,2017,565458,April
CROYDON SOUTH,5,2016,1904851,May
CROYDON SOUTH,5,2017,538238,May
CROYDON SOUTH,6,2016,1493284,June
CROYDON SOUTH,6,2017,786827,June
CROYDON SOUTH,7,2016,650000,July
CROYDON SOUTH,7,2017,650000,July
CROYDON SOUTH,8,2016,959576,August
CROYDON SOUTH,8,2017,959576,August
CROYDON SOUTH,9,2017,898436,September
CROYDON SOUTH,9,2016,780000,September
CROYDON SOUTH,10,2017,713197,October
CROYDON SOUTH,10,2016,652000,October
CROYDON SOUTH,11,2017,798000,November
CROYDON SOUTH,11,2016,713125,November
CROYDON SOUTH,12,2016,1204709,December
CROYDON SOUTH,12,2017,1204709,December
DALLAS,1,2016,635516,January
DALLAS,1,2017,635516,January
DALLAS,2,2016,548570,February
DALLAS,2,2017,548570,February
DALLAS,3,2017,812667,March
DALLAS,3,2016,455000,March
DALLAS,4,2016,1080475,April
DALLAS,4,2017,1080475,April
DALLAS,5,2016,790000,May
DALLAS,5,2017,790000,May
DALLAS,6,2017,1338020,June
DALLAS,6,2016,721979,June
DALLAS,7,2017,1889738,July
DALLAS,7,2016,1744182,July
DALLAS,8,2017,536267,August
DALLAS,8,2016,352500,August
DALLAS,9,2017,608000,September
DALLAS,9,2016,589758,September
DALLAS,10,2016,818217,October
DALLAS,10,2017,818217,October
DALLAS,11,2016,662991,November
DALLAS,11,2017,662991,November
DALLAS,12,2017,816064,December
DALLAS,12,2016,732500,December
DANDENONG,1,2016,660000,January
DANDENONG,1,2017,660000,January
DANDENONG,2,2017,716333,February
DANDENONG,2,2016,689633,February
DANDENONG,3,2016,891750,March
DANDENONG,3,2017,824655,March
DANDENONG,4,2016,1805286,April
DANDENONG,4,2017,1478768,April
DANDENONG,5,2016,2081000,May
DANDENONG,5,2017,1960750,May
DANDENONG,6,2016,851367,June
DANDENONG,6,2017,851367,June
DANDENONG,7,2016,764771,July
DANDENONG,7,2017,764771,July
DANDENONG,8,2016,548407,August
DANDENONG,8,2017,548407,August
DANDENONG,9,2016,705373,September
DANDENONG,9,2017,705373,September
DANDENONG,10,2017,860000,October
DANDENONG,10,2016,851627,October
DANDENONG,11,2016,949989,November
DANDENONG,11,2017,949989,November
DANDENONG,12,2016,1496656,December
DANDENONG,12,2017,1496656,December
DANDENONG NORTH,1,2016,341639,January
DANDENONG NORTH,1,2017,341639,January
DANDENONG NORTH,2,2016,619847,February
DANDENONG NORTH,2,2017,619847,February
DANDENONG NORTH,3,2016,578788,March
DANDENONG NORTH,3,2017,578788,March
DANDENONG NORTH,4,2016,821500,April
DANDENONG NORTH,4,2017,821500,April
DANDENONG NORTH,5,2017,721018,May
DANDENONG NORTH,5,2016,616662,May
DANDENONG NORTH,6,2016,1437000,June
DANDENONG NORTH,6,2017,1098481,June
DANDENONG NORTH,7,2017,1508191,July
DANDENONG NORTH,7,2016,1347484,July
DANDENONG NORTH,8,2017,879400,August
DANDENONG NORTH,8,2016,827941,August
DANDENONG NORTH,9,2016,1317333,September
DANDENONG NORTH,9,2017,1317333,September
DANDENONG NORTH,10,2016,492625,October
DANDENONG NORTH,10,2017,492625,October
DANDENONG NORTH,11,2017,813543,November
DANDENONG NORTH,11,2016,600250,November
DANDENONG NORTH,12,2016,401621,December
DANDENONG NORTH,12,2017,401621,December
DEEPDENE,1,2016,377250,January
DEEPDENE,1,2017,377250,January
DEEPDENE,2,2016,448161,February
DEEPDENE,2,2017,448161,February
DEEPDENE,3,2016,1012913,March
DEEPDENE,3,2017,1012913,March
DEEPDENE,4,2016,633756,April
DEEPDENE,4,2017,633756,April
DEEPDENE,5,2016,510000,May
DEEPDENE,5,2017,510000,May
DEEPDENE,6,2017,1747500,June
DEEPDENE,6,2016,1321206,June
DEEPDENE,7,2016,626798,July
DEEPDENE,7,2017,626798,July
DEEPDENE,8,2016,968998,August
DEEPDENE,8,2017,968998,August
DEEPDENE,9,2016,1574017,September
DEEPDENE,9,2017,1316955,September
DEEPDENE,10,2016,847205,October
DEEPDENE,10,2017,847205,October
DEEPDENE,11,2016,735000,November
DEEPDENE,11,2017,735000,November
DEEPDENE,12,2016,1278000,December
DEEPDENE,12,2017,1160223,December
DEER PARK,1,2017,1021405,January
DEER PARK,1,2016,910000,January
DEER PARK,2,2016,745792,February
DEER PARK,2,2017,745792,February
DEER PARK,3,2016,1034444,March
DEER PARK,3,2017,1034444,March
DEER PARK,4,2016,567500,April
DEER PARK,4,2017,567500,April
DEER PARK,5,2016,1364932,May
DEER PARK,5,2017,1364932,May
DEER PARK,6,2016,1071262,June
DEER PARK,6,2017,1071262,June
DEER PARK,7,2016,963304,July
DEER PARK,7,2017,713761,July
DEER PARK,8,2016,662074,August
DEER PARK,8,2017,662074,August
DEER PARK,9,2016,690000,September
DEER PARK,9,2017,690000,September
DEER PARK,10,2017,1201689,October
DEER PARK,10,2016,743714,October
DEER PARK,11,2017,1002143,November
DEER PARK,11,2016,963000,November
DEER PARK,12,2016,638376,December
DEER PARK,12,2017,638376,December
DELAHEY,1,2016,793598,January
DELAHEY,1,2017,729567,January
DELAHEY,2,2016,1226000,February
DELAHEY,2,2017,1226000,February
DELAHEY,3,2016,1271000,March
DELAHEY,3,2017,1059594,March
DELAHEY,4,2016,1054125,April
DELAHEY,4,2017,1054125,April
DELAHEY,5,2016,1029957,May
DELAHEY,5,2017,1029957,May
DELAHEY,6,2017,781299,June
DELAHEY,6,2016,728180,June
DELAHEY,7,2017,1717500,July
DELAHEY,7,2016,995167,July
DELAHEY,8,2016,1019556,August
DELAHEY,8,2017,1019556,August
DELAHEY,9,2016,995099,September
DELAHEY,9,2017,988725,September
DELAHEY,10,2016,559000,October
DELAHEY,10,2017,559000,October
DELAHEY,11,2017,1194360,November
DELAHEY,11,2016,990700,November
DELAHEY,12,2016,482425,December
DELAHEY,12,2017,482425,December
DERRIMUT,1,2016,1153706,January
DERRIMUT,1,2017,1153706,January
DERRIMUT,2,2017,500000,February
DERRIMUT,2,2016,436562,February
DERRIMUT,3,2017,789794,March
DERRIMUT,3,2016,672535,March
DERRIMUT,4,2016,670000,April
DERRIMUT,4,2017,670000,April
DERRIMUT,5,2016,625500,May
DERRIMUT,5,2017,625500,May
DERRIMUT,6,2016,656408,June
DERRIMUT,6,2017,656408,June
DERRIMUT,7,2017,1335131,July
DERRIMUT,7,2016,1183751,July
DERRIMUT,8,2017,1138764,August
DERRIMUT,8,2016,1113062,August
DERRIMUT,9,2017,950993,September
DERRIMUT,9,2016,947506,September
DERRIMUT,10,2016,1791429,October
DERRIMUT,10,2017,1791429,October
DERRIMUT,11,2017,719100,November
DERRIMUT,11,2016,601526,November
DERRIMUT,12,2016,1223454,December
DERRIMUT,12,2017,1016730,December
DIAMOND CREEK,1,2016,892250,January
DIAMOND CREEK,1,2017,892250,January
DIAMOND CREEK,2,2016,922396,February
DIAMOND CREEK,2,2017,922396,February
DIAMOND CREEK,3,2016,891382,March
DIAMOND CREEK,3,2017,891382,March
DIAMOND CREEK,4,2016,938753,April
DIAMOND CREEK,4,2017,938753,April
DIAMOND CREEK,5,2016,715208,May
DIAMOND CREEK,5,2017,715208,May
DIAMOND CREEK,6,2017,970896,June
DIAMOND CREEK,6,2016,705000,June
DIAMOND CREEK,7,2016,925467,July
DIAMOND CREEK,7,2017,925467,July
DIAMOND CREEK,8,2016,505797,August
DIAMOND CREEK,8,2017,505797,August
DIAMOND CREEK,9,2016,655000,September
DIAMOND CREEK,9,2017,655000,September
DIAMOND CREEK,10,2016,1495897,October
DIAMOND CREEK,10,2017,1495897,October
DIAMOND CREEK,11,2016,940907,November
DIAMOND CREEK,11,2017,940907,November
DIAMOND CREEK,12,2016,573750,December
DIAMOND CREEK,12,2017,573750,December
DIGGERS REST,1,2016,709506,January
DIGGERS REST,1,2017,709506,January
DIGGERS REST,2,2017,1222857,February
DIGGERS REST,2,2016,1050000,February
DIGGERS REST,3,2016,1062185,March
DIGGERS REST,3,2017,995141,March
DIGGERS REST,4,2016,597849,April
DIGGERS REST,4,2017,597849,April
DIGGERS REST,5,2016,915000,May
DIGGERS REST,5,2017,632180,May
DIGGERS REST,6,2016,1171400,June
DIGGERS REST,6,2017,1013955,June
DIGGERS REST,7,2016,578828,July
DIGGERS REST,7,2017,578828,July
DIGGERS REST,8,2017,1147789,August
DIGGERS REST,8,2016,997781,August
DIGGERS REST,9,2016,644667,September
DIGGERS REST,9,2017,560000,September
DIGGERS REST,10,2016,831000,October
DIGGERS REST,10,2017,786667,October
DIGGERS REST,11,2016,755205,November
DIGGERS REST,11,2017,755205,November
DIGGERS REST,12,2016,729167,December
DIGGERS REST,12,2017,729167,December
DINGLEY VILLAGE,1,2016,601026,January
DINGLEY VILLAGE,1,2017,601026,January
DINGLEY VILLAGE,2,2016,1029667,February
DINGLEY VILLAGE,2,2017,1029667,February
DINGLEY VILLAGE,3,2017,966837,March
DINGLEY VILLAGE,3,2016,532375,March
DINGLEY VILLAGE,4,2016,1021250,April
DINGLEY VILLAGE,4,2017,1002283,April
DINGLEY VILLAGE,5,2016,913389,May
DINGLEY VILLAGE,5,2017,913389,May
DINGLEY VILLAGE,6,2016,514538,June
DINGLEY VILLAGE,6,2017,514538,June
DINGLEY VILLAGE,7,2017,752509,July
DINGLEY VILLAGE,7,2016,643202,July
DINGLEY VILLAGE,8,2016,689240,August
DINGLEY VILLAGE,8,2017,622762,August
DINGLEY VILLAGE,9,2017,556108,September
DINGLEY VILLAGE,9,2016,511026,September
DINGLEY VILLAGE,10,2017,1985639,October
DINGLEY VILLAGE,10,2016,1551058,October
DINGLEY VILLAGE,11,2016,567792,November
DINGLEY VILLAGE,11,2017,567792,November
DINGLEY VILLAGE,12,2016,519287,December
DINGLEY VILLAGE,12,2017,519287,December
DOCKLANDS,1,2016,662717,January
DOCKLANDS,1,2017,662717,January
DOCKLANDS,2,2016,736038,February
DOCKLANDS,2,2017,736038,February
DOCKLANDS,3,2016,1560032,March
DOCKLANDS,3,2017,1560032,March
DOCKLANDS,4,2017,1376511,April
DOCKLANDS,4,2016,1115440,April
DOCKLANDS,5,2016,608033,May
DOCKLANDS,5,2017,608033,May
DOCKLANDS,6,2016,624053,June
DOCKLANDS,6,2017,624053,June
DOCKLANDS,7,2017,989769,July
DOCKLANDS,7,2016,883917,July
DOCKLANDS,8,2016,2149599,August
DOCKLANDS,8,2017,1290700,August
DOCKLANDS,9,2016,991479,September
DOCKLANDS,9,2017,991479,September
DOCKLANDS,10,2016,525202,October
DOCKLANDS,10,2017,525202,October
DOCKLANDS,11,2016,540885,November
DOCKLANDS,11,2017,540885,November
DOCKLANDS,12,2016,1037104,December
DOCKLANDS,12,2017,1037104,December
DONCASTER,1,2016,1203982,January
DONCASTER,1,2017,1203982,January
DONCASTER,2,2017,1056008,February
DONCASTER,2,2016,965762,February
DONCASTER,3,2016,366000,March
DONCASTER,3,2017,366000,March
DONCASTER,4,2016,933522,April
DONCASTER,4,2017,933522,April
DONCASTER,5,2016,1123962,May
DONCASTER,5,2017,1123962,May
DONCASTER,6,2016,1170600,June
DONCASTER,6,2017,1170600,June
DONCASTER,7,2016,1248500,July
DONCASTER,7,2017,1248500,July
DONCASTER,8,2017,822167,August
DONCASTER,8,2016,762500,August
DONCASTER,9,2016,781022,September
DONCASTER,9,2017,781022,September
DONCASTER,10,2016,517407,October
DONCASTER,10,2017,517407,October
DONCASTER,11,2016,798100,November
DONCASTER,11,2017,745786,November
DONCASTER,12,2016,939849,December
DONCASTER,12,2017,674000,December
DONCASTER EAST,1,2016,578449,January
DONCASTER EAST,1,2017,578449,January
DONCASTER EAST,2,2016,1247866,February
DONCASTER EAST,2,2017,1247866,February
DONCASTER EAST,3,2016,520500,March
DONCASTER EAST,3,2017,520500,March
DONCASTER EAST,4,2016,555000,April
DONCASTER EAST,4,2017,555000,April
DONCASTER EAST,5,2016,1208490,May
DONCASTER EAST,5,2017,1075889,May
DONCASTER EAST,6,2017,901200,June
DONCASTER EAST,6,2016,600000,June
DONCASTER EAST,7,2016,804691,July
DONCASTER EAST,7,2017,672250,July
DONCASTER EAST,8,2016,548157,August
DONCASTER EAST,8,2017,548157,August
DONCASTER EAST,9,2016,536716,September
DONCASTER EAST,9,2017,536716,September
DONCASTER EAST,10,2017,926162,October
DONCASTER EAST,10,2016,880396,October
DONCASTER EAST,11,2016,620000,November
DONCASTER EAST,11,2017,620000,November
DONCASTER EAST,12,2017,1080239,December
DONCASTER EAST,12,2016,796917,December
DONVALE,1,2017,1042940,January
DONVALE,1,2016,1024729,January
DONVALE,2,2017,1800833,February
DONVALE,2,2016,1264729,February
DONVALE,3,2017,790667,March
DONVALE,3,2016,655000,March
DONVALE,4,2016,532729,April
DONVALE,4,2017,532729,April
DONVALE,5,2017,2157671,May
DONVALE,5,2016,1809005,May
DONVALE,6,2016,600000,June
DONVALE,6,2017,537000,June
DONVALE,7,2017,963200,July
DONVALE,7,2016,768148,July
DONVALE,8,2017,1193000,August
DONVALE,8,2016,807157,August
DONVALE,9,2016,722701,September
DONVALE,9,2017,722701,September
DONVALE,10,2017,821625,October
DONVALE,10,2016,712000,October
DONVALE,11,2016,661133,November
DONVALE,11,2017,651750,November
DONVALE,12,2016,1646802,December
DONVALE,12,2017,1629191,December
DOREEN,1,2017,1212388,January
DOREEN,1,2016,1025766,January
DOREEN,2,2017,1796773,February
DOREEN,2,2016,1642381,February
DOREEN,3,2016,1159796,March
DOREEN,3,2017,1138893,March
DOREEN,4,2017,1610000,April
DOREEN,4,2016,1267974,April
DOREEN,5,2016,836250,May
DOREEN,5,2017,836250,May
DOREEN,6,2016,640000,June
DOREEN,6,2017,640000,June
DOREEN,7,2017,932000,July
DOREEN,7,2016,931657,July
DOREEN,8,2017,450000,August
DOREEN,8,2016,445287,August
DOREEN,9,2016,1992106,September
DOREEN,9,2017,1408383,September
DOREEN,10,2017,1675198,October
DOREEN,10,2016,1582082,October
DOREEN,11,2016,710710,November
DOREEN,11,2017,657500,November
DOREEN,12,2016,724049,December
DOREEN,12,2017,724049,December
DOVETON,1,2016,581333,January
DOVETON,1,2017,581333,January
DOVETON,2,2016,675000,February
DOVETON,2,2017,675000,February
DOVETON,3,2017,2364375,March
DOVETON,3,2016,1802798,March
DOVETON,4,2017,875500,April
DOVETON,4,2016,635000,April
DOVETON,5,2017,1359558,May
DOVETON,5,2016,1291967,May
DOVETON,6,2017,1191267,June
DOVETON,6,2016,996996,June
DOVETON,7,2017,782333,July
DOVETON,7,2016,762123,July
DOVETON,8,2016,1189977,August
DOVETON,8,2017,851750,August
DOVETON,9,2016,1306116,September
DOVETON,9,2017,1306116,September
DOVETON,10,2016,1119739,October
DOVETON,10,2017,1119739,October
DOVETON,11,2017,1258000,November
DOVETON,11,2016,1117430,November
DOVETON,12,2016,989222,December
DOVETON,12,2017,989222,December
EAGLEMONT,1,2016,759134,January
EAGLEMONT,1,2017,748833,January
EAGLEMONT,2,2016,1250208,February
EAGLEMONT,2,2017,1244048,February
EAGLEMONT,3,2017,620333,March
EAGLEMONT,3,2016,470000,March
EAGLEMONT,4,2016,720710,April
EAGLEMONT,4,2017,590000,April
EAGLEMONT,5,2017,2060880,May
EAGLEMONT,5,2016,1750894,May
EAGLEMONT,6,2017,1694139,June
EAGLEMONT,6,2016,1517331,June
EAGLEMONT,7,2016,511154,July
EAGLEMONT,7,2017,484593,July
EAGLEMONT,8,2016,456000,August
EAGLEMONT,8,2017,456000,August
EAGLEMONT,9,2017,671000,September
EAGLEMONT,9,2016,524250,September
EAGLEMONT,10,2017,1124804,October
EAGLEMONT,10,2016,854372,October
EAGLEMONT,11,2016,893183,November
EAGLEMONT,11,2017,882483,November
EAGLEMONT,12,2017,804172,December
EAGLEMONT,12,2016,724723,December
EAST MELBOURNE,1,2016,1223929,January
EAST MELBOURNE,1,2017,1074543,January
EAST MELBOURNE,2,2017,824812,February
EAST MELBOURNE,2,2016,806597,February
EAST MELBOURNE,3,2017,1837500,March
EAST MELBOURNE,3,2016,1039251,March
