Suburb,Month,Year,avg_price
BRIGHTON EAST,9,2016,1646122.96
BRIGHTON EAST,10,2016,1945918.23
BRIGHTON EAST,11,2016,1697061.97
BRIGHTON EAST,12,2016,1633778.94
BRIGHTON EAST,2,2017,1515292.86
BRIGHTON EAST,3,2017,1565665.14
BRIGHTON EAST,4,2017,1583170.3
BRIGHTON EAST,5,2017,1694139.11
BRIGHTON EAST,6,2017,1870254.21
BRIGHTON EAST,7,2017,1225564.33
BRIGHTON EAST,8,2017,1528030.84
BRIGHTON EAST,9,2017,1589846.57
BROADMEADOWS,5,2017,484593.33
BROADMEADOWS,6,2017,342000
BROADMEADOWS,7,2017,513071.07
BROADMEADOWS,8,2017,685857.14
BROADMEADOWS,9,2017,530250
BROOKFIELD,7,2017,456000
BROOKLYN,5,2016,524250
BROOKLYN,6,2016,480000
BROOKLYN,8,2016,719191.5
BROOKLYN,9,2016,488191.5
BROOKLYN,10,2016,610977
BROOKLYN,11,2016,716666.67
BROOKLYN,12,2016,485000
BROOKLYN,2,2017,543142.75
BROOKLYN,3,2017,790000
BROOKLYN,4,2017,676250
BROOKLYN,5,2017,670999.67
BROOKLYN,6,2017,820000
BROOKLYN,7,2017,526775
BROOKLYN,9,2017,901000
BRUNSWICK,4,2016,914193.69
BRUNSWICK,5,2016,854372.04
BRUNSWICK,6,2016,949002.25
BRUNSWICK,7,2016,1021069.1
BRUNSWICK,8,2016,865091.29
BRUNSWICK,9,2016,880024.15
BRUNSWICK,10,2016,1017315.88
BRUNSWICK,11,2016,953900.75
BRUNSWICK,12,2016,1026773.13
BRUNSWICK,2,2017,994000
BRUNSWICK,3,2017,1129140.94
BRUNSWICK,4,2017,955500
BRUNSWICK,5,2017,1124804.41
BRUNSWICK,6,2017,1048856.68
BRUNSWICK,7,2017,1078101.2
BRUNSWICK,8,2017,952223
BRUNSWICK,9,2017,901566.27
BRUNSWICK EAST,4,2016,1023000
BRUNSWICK EAST,5,2016,893183.36
BRUNSWICK EAST,6,2016,835038.5
BRUNSWICK EAST,7,2016,823400
BRUNSWICK EAST,8,2016,979269.8
BRUNSWICK EAST,9,2016,1041285.71
BRUNSWICK EAST,10,2016,734223.6
BRUNSWICK EAST,11,2016,1078918.63
BRUNSWICK EAST,12,2016,1045623.6
BRUNSWICK EAST,2,2017,675372.67
BRUNSWICK EAST,3,2017,1008194.14
BRUNSWICK EAST,4,2017,821253.83
BRUNSWICK EAST,5,2017,882483.41
BRUNSWICK EAST,6,2017,983889.75
BRUNSWICK EAST,7,2017,745325.46
BRUNSWICK EAST,8,2017,768602.58
BRUNSWICK EAST,9,2017,842707.54
BRUNSWICK WEST,4,2016,879250
BRUNSWICK WEST,5,2016,724722.89
BRUNSWICK WEST,6,2016,707119.62
BRUNSWICK WEST,7,2016,925166.67
BRUNSWICK WEST,8,2016,676187.5
BRUNSWICK WEST,9,2016,796276.25
BRUNSWICK WEST,10,2016,782381.89
BRUNSWICK WEST,11,2016,869007.94
BRUNSWICK WEST,12,2016,823618.33
BRUNSWICK WEST,2,2017,844500
BRUNSWICK WEST,3,2017,674027.83
BRUNSWICK WEST,4,2017,860354.44
BRUNSWICK WEST,5,2017,804172.25
BRUNSWICK WEST,6,2017,897652.33
BRUNSWICK WEST,7,2017,643711.77
BRUNSWICK WEST,8,2017,1025246.36
BRUNSWICK WEST,9,2017,796850.38
BULLEEN,4,2016,1150500
BULLEEN,5,2016,1223928.6
BULLEEN,6,2016,1072714.33
BULLEEN,7,2016,1038000
BULLEEN,8,2016,1060771.8
BULLEEN,9,2016,1194428.57
BULLEEN,10,2016,1093469.43
BULLEEN,11,2016,1192648.83
BULLEEN,12,2016,1189444.44
BULLEEN,2,2017,1073333.33
BULLEEN,3,2017,1305000
BULLEEN,4,2017,1144143.6
BULLEEN,5,2017,1074543.14
BULLEEN,6,2017,1193333.33
BULLEEN,7,2017,1210500
BULLEEN,8,2017,1286333.33
BULLEEN,9,2017,1164333.33
BUNDOORA,5,2017,824812.5
BUNDOORA,6,2017,775954.55
BUNDOORA,7,2017,761470.27
BUNDOORA,8,2017,867266.67
BUNDOORA,9,2017,803483.1
BURNLEY,4,2016,881000
BURNLEY,9,2016,1202500
BURNLEY,12,2016,1118005
BURNLEY,2,2017,1435000
BURNLEY,5,2017,1837500
BURNLEY,6,2017,1100000
BURNLEY,8,2017,370000
BURNLEY,9,2017,370000
BURNSIDE,8,2017,599375
BURNSIDE,9,2017,657500
BURNSIDE HEIGHTS,5,2017,586500
BURNSIDE HEIGHTS,6,2017,527200
BURNSIDE HEIGHTS,7,2017,535000
BURNSIDE HEIGHTS,8,2017,603000
BURNSIDE HEIGHTS,9,2017,617500
BURWOOD,2,2016,1453000
BURWOOD,4,2016,1449832.33
BURWOOD,5,2016,1209138
BURWOOD,6,2016,1156188.19
BURWOOD,7,2016,813033
BURWOOD,8,2016,1042147.57
BURWOOD,9,2016,1063857.75
BURWOOD,10,2016,1387721.5
BURWOOD,11,2016,1244069.64
BURWOOD,12,2016,1369233.55
BURWOOD,2,2017,1186954.4
BURWOOD,3,2017,1192990.13
BURWOOD,4,2017,1241038.33
BURWOOD,5,2017,1217113.26
BURWOOD,6,2017,1090985
BURWOOD,7,2017,1399921.17
BURWOOD,8,2017,1335377
BURWOOD,9,2017,1353821.36
BURWOOD EAST,5,2017,780000
BURWOOD EAST,6,2017,1149496.33
BURWOOD EAST,7,2017,1166116.86
