NSW,Australia,Equatorial Guinea,0,12,12,0,0,11,0,0,0,0,0,11,0,11,12,12,12,0,11,10,0,12,0,0,0,11,0,0,0,0,0,11,0,11,0,0,0,0,11,4
NSW,Australia,Eritrea,35,47,36,24,24,23,0,0,0,0,0,6,33,12,17,24,24,24,24,0,11,11,0,0,0,11,0,0,0,0,0,6,21,0,17,0,0,0,0,0
NSW,Australia,Estonia,12,20,34,24,41,54,56,88,94,100,72,31,57,58,138,136,137,149,95,25,0,8,10,0,29,6,44,16,22,28,0,19,21,22,42,4,53,41,11,7
NSW,Australia,Ethiopia,46,76,80,78,116,94,59,77,58,80,120,134,130,111,201,439,631,841,913,342,22,28,32,6,56,10,47,17,10,20,12,50,58,3,93,175,187,169,61,12
NSW,Australia,Falkland Islands,10,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Australia,Fiji,2013,2111,2130,1975,1861,1757,1420,1555,1557,1510,1495,1387,1315,1147,1111,1163,1342,1356,1379,545,669,659,522,487,565,425,460,475,417,442,391,379,343,211,295,359,418,384,371,59
NSW,Australia,Finland,224,342,345,332,365,333,352,430,594,444,313,233,245,303,279,279,286,414,502,207,92,174,105,140,149,105,124,214,150,132,85,41,65,171,111,75,154,162,166,39
NSW,Australia,France,1699,2256,2319,2782,3283,3943,3985,4569,5700,5374,4771,4670,4554,4502,4501,4548,4204,4081,3830,1230,943,1068,1011,1174,1531,1663,1789,1845,2772,1954,1975,1718,1506,1622,1441,1440,1276,1309,1058,234
NSW,Australia,French Guiana,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Australia,French Polynesia,24,10,0,10,17,12,8,12,20,23,12,0,0,0,0,0,0,0,0,0,0,10,0,10,5,0,8,0,8,11,0,0,0,0,0,0,0,0,0,0
NSW,Australia,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
NSW,Australia,Gaza Strip and West Bank,73,114,128,107,83,117,99,111,155,126,157,155,120,140,120,117,143,87,111,52,25,66,20,11,23,45,27,75,47,42,61,23,24,92,48,21,35,15,39,4
NSW,Australia,Georgia,10,12,12,6,16,35,12,12,22,0,0,0,0,0,0,9,25,48,36,12,10,0,0,6,4,23,0,0,10,0,0,0,0,0,0,9,25,0,0,6
NSW,Australia,Germany,3059,4015,5461,7044,7134,6878,6309,6535,7190,6201,5118,4234,4146,3755,4104,4179,3822,3772,3541,1387,1607,2035,2845,2844,2706,2642,2421,2431,2846,1905,1506,1186,1182,1199,1296,1131,1146,1012,901,277
NSW,Australia,Ghana,155,145,154,155,163,170,151,183,142,227,302,316,445,622,956,1516,1886,1920,1761,759,11,49,22,23,43,50,67,39,34,71,74,100,181,214,344,616,542,492,309,87
NSW,Australia,Greece,91,143,136,133,150,127,190,213,168,165,192,234,310,314,371,334,314,298,218,85,43,35,64,49,30,67,70,57,84,69,72,102,106,86,95,82,50,106,26,7
NSW,Australia,Guatemala,12,12,11,17,23,18,30,30,58,23,24,0,21,38,62,106,117,166,218,66,0,0,11,5,11,6,6,18,22,11,12,0,21,14,14,46,33,82,62,0
NSW,Australia,Guinea,0,0,0,0,0,0,0,0,6,18,12,12,12,0,0,0,0,11,12,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,11,0,0
NSW,Australia,Guyana,0,0,0,0,10,12,12,12,12,0,0,0,0,9,24,18,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,6,11,0,0,0
NSW,Australia,Haiti,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
NSW,Australia,Honduras,0,0,0,21,24,46,36,22,12,0,0,0,23,24,12,11,18,12,23,22,0,0,0,21,0,22,0,10,0,0,0,0,23,0,0,11,6,0,11,10
NSW,Australia,Hong Kong,36150,42278,45666,45668,39179,32263,26154,23925,24039,23540,23966,25418,27082,27255,28360,29340,30253,30628,31829,15086,12966,13322,11538,11000,8171,6763,7362,6717,6771,7028,7394,7550,7834,8091,8656,8400,7657,7480,8957,3056
NSW,Australia,Hungary,223,349,411,380,307,300,249,267,263,284,390,813,1179,1058,1023,857,716,499,356,119,127,157,123,92,91,108,105,87,95,104,198,393,279,206,291,173,116,91,44,17
NSW,Australia,Iceland,56,54,94,81,115,80,146,116,127,78,86,62,78,94,95,83,59,43,39,12,20,42,22,9,55,44,62,56,43,18,26,26,6,58,23,35,11,19,15,0
NSW,Australia,India,29670,36034,58547,84115,94702,92115,86446,82777,66099,46406,36427,43918,65001,91836,120917,154173,199870,248418,237513,83102,11298,16078,28331,25675,25942,26355,26350,22849,12747,10742,11719,17170,28197,35712,43493,55113,69418,81282,51369,9176
NSW,Australia,Indonesia,43624,44875,41635,38093,35755,33628,31100,32043,32055,31316,30038,28417,28153,27436,28430,30635,32568,35189,36622,15437,14560,13375,10411,10745,9499,9736,9428,10047,9123,9164,8402,7981,7825,8044,8750,8639,9012,9905,8830,2069
NSW,Australia,Iran,841,1310,1884,2521,3104,3520,4191,5654,7713,9604,9690,9849,9678,8319,7855,8357,8453,8098,7146,2504,337,458,576,745,1100,1276,1659,2402,2961,3232,3138,2877,2214,1971,1999,2273,2165,1414,1086,404
NSW,Australia,Iraq,22,38,65,69,130,147,171,299,441,616,624,755,1273,1812,1828,1599,1135,651,316,113,10,14,17,9,70,51,75,143,165,184,192,227,613,516,280,135,103,75,52,11
NSW,Australia,Ireland,398,563,714,683,663,569,554,810,802,703,655,543,377,395,428,403,445,526,448,170,206,275,234,215,207,185,266,414,322,211,163,135,125,119,92,115,145,154,100,14
