Country,Code,Year,Longitude,Latitude,Age Group,Recorded Deaths
African Region (WHO),,1997,0,0,: 50-69,99395
Albania,ALB,1997,20,41,: 50-69,1104
Algeria,DZA,1997,3,28,: 50-69,6044
American Samoa,ASM,1997,-170,-14.3333,: 50-69,20
Andorra,AND,1997,1.6,42.5,: 50-69,28
Angola,AGO,1997,18.5,-12.5,: 50-69,2870
Antigua and Barbuda,ATG,1997,-61.8,17.05,: 50-69,10
Argentina,ARG,1997,-64,-34,: 50-69,21097
Armenia,ARM,1997,45,40,: 50-69,2770
Australia,AUS,1997,133,-27,: 50-69,7687
Austria,AUT,1997,13.3333,47.3333,: 50-69,4529
Azerbaijan,AZE,1997,47.5,40.5,: 50-69,5028
Bahamas,BHS,1997,-76,24.25,: 50-69,49
Bahrain,BHR,1997,50.55,26,: 50-69,154
Bangladesh,BGD,1997,90,24,: 50-69,35376
Barbados,BRB,1997,-59.5333,13.1667,: 50-69,44
Belarus,BLR,1997,28,53,: 50-69,14473
Belgium,BEL,1997,4,50.8333,: 50-69,7281
Belize,BLZ,1997,-88.75,17.25,: 50-69,32
Benin,BEN,1997,2.25,9.5,: 50-69,669
Bermuda,BMU,1997,-64.75,32.3333,: 50-69,23
Bhutan,BTN,1997,90.5,27.5,: 50-69,111
Bolivia,BOL,1997,-65,-17,: 50-69,1243
Bosnia and Herzegovina,BIH,1997,18,44,: 50-69,4027
Botswana,BWA,1997,24,-22,: 50-69,729
Brazil,BRA,1997,-55,-10,: 50-69,71289
Brunei,BRN,1997,114.6667,4.5,: 50-69,74
Bulgaria,BGR,1997,25,43,: 50-69,14851
Burkina Faso,BFA,1997,-2,13,: 50-69,1096
Burundi,BDI,1997,30,-3.5,: 50-69,1589
Cambodia,KHM,1997,105,13,: 50-69,4743
Cameroon,CMR,1997,12,6,: 50-69,2130
Canada,CAN,1997,-95,60,: 50-69,16210
Cape Verde,CPV,1997,-24,16,: 50-69,54
Central African Republic,CAF,1997,21,7,: 50-69,923
Chad,TCD,1997,19,15,: 50-69,955
Chile,CHL,1997,-71,-30,: 50-69,4438
China,CHN,1997,105,35,: 50-69,674698
Colombia,COL,1997,-72,4,: 50-69,7135
Comoros,COM,1997,44.25,-12.1667,: 50-69,95
Congo,COG,1997,15,-1,: 50-69,547
Cook Islands,COK,1997,-159.7667,-21.2333,: 50-69,9
Costa Rica,CRI,1997,-84,10,: 50-69,557
Cote d'Ivoire,CIV,1997,-5,8,: 50-69,2443
Croatia,HRV,1997,15.5,45.1667,: 50-69,5980
Cuba,CUB,1997,-80,21.5,: 50-69,6241
Cyprus,CYP,1997,33,35,: 50-69,401
Czechia,CZE,1997,15.5,49.75,: 50-69,10803
Democratic Republic of Congo,COD,1997,25,0,: 50-69,6414
Denmark,DNK,1997,10,56,: 50-69,4861
Djibouti,DJI,1997,43,11.5,: 50-69,111
Dominica,DMA,1997,-61.3333,15.4167,: 50-69,14
Dominican Republic,DOM,1997,-70.6667,19,: 50-69,1362
East Asia & Pacific (WB),,1997,0,0,: 50-69,974793
Eastern Mediterranean Region (WHO),,1997,0,0,: 50-69,137592
Ecuador,ECU,1997,-77.5,-2,: 50-69,1228
Egypt,EGY,1997,30,27,: 50-69,20638
El Salvador,SLV,1997,-88.9167,13.8333,: 50-69,507
England,,1997,0,0,: 50-69,35534
Equatorial Guinea,GNQ,1997,10,2,: 50-69,101
Eritrea,ERI,1997,39,15,: 50-69,640
Estonia,EST,1997,26,59,: 50-69,1802
Eswatini,SWZ,1997,31.5,-26.5,: 50-69,161
Ethiopia,ETH,1997,38,8,: 50-69,6220
Europe & Central Asia (WB),,1997,0,0,: 50-69,754147
European Region (WHO),,1997,0,0,: 50-69,758645
Fiji,FJI,1997,175,-18,: 50-69,427
Finland,FIN,1997,26,64,: 50-69,2865
France,FRA,1997,2,46,: 50-69,27802
G20,,1997,0,0,: 50-69,2121955
Gabon,GAB,1997,11.75,-1,: 50-69,206
Gambia,GMB,1997,-16.5667,13.4667,: 50-69,195
Georgia,GEO,1997,43.5,42,: 50-69,4462
Germany,DEU,1997,9,51,: 50-69,59044
Ghana,GHA,1997,-2,8,: 50-69,1786
Greece,GRC,1997,22,39,: 50-69,8241
Greenland,GRL,1997,-40,72,: 50-69,65
Grenada,GRD,1997,-61.6667,12.1167,: 50-69,19
Guam,GUM,1997,144.7833,13.4667,: 50-69,48
Guatemala,GTM,1997,-90.25,15.5,: 50-69,985
Guinea,GIN,1997,-10,11,: 50-69,1344
Guinea-Bissau,GNB,1997,-15,12,: 50-69,135
Guyana,GUY,1997,-59,5,: 50-69,211
Haiti,HTI,1997,-72.4167,19,: 50-69,1727
Honduras,HND,1997,-86.5,15,: 50-69,763
Hungary,HUN,1997,20,47,: 50-69,14184
Iceland,ISL,1997,-18,65,: 50-69,116
India,IND,1997,77,20,: 50-69,382432
Indonesia,IDN,1997,120,-5,: 50-69,61554
Iran,IRN,1997,53,32,: 50-69,14305
Iraq,IRQ,1997,44,33,: 50-69,8019
Ireland,IRL,1997,-8,53,: 50-69,2259
Israel,ISR,1997,34.75,31.5,: 50-69,2039
Italy,ITA,1997,12.8333,42.8333,: 50-69,35183
Jamaica,JAM,1997,-77.5,18.25,: 50-69,570
Japan,JPN,1997,138,36,: 50-69,62088
Jordan,JOR,1997,36,31,: 50-69,1193
Kazakhstan,KAZ,1997,68,48,: 50-69,15491
Kenya,KEN,1997,38,1,: 50-69,2923
Kiribati,KIR,1997,173,1.4167,: 50-69,87
Kuwait,KWT,1997,47.6581,29.3375,: 50-69,307
Kyrgyzstan,KGZ,1997,75,41,: 50-69,2787
Laos,LAO,1997,105,18,: 50-69,2387
Latin America & Caribbean (WB),,1997,0,0,: 50-69,145703
Latvia,LVA,1997,25,57,: 50-69,3196
Lebanon,LBN,1997,35.8333,33.8333,: 50-69,1908
Lesotho,LSO,1997,28.5,-29.5,: 50-69,750
Liberia,LBR,1997,-9.5,6.5,: 50-69,297
Libya,LBY,1997,17,25,: 50-69,827
Lithuania,LTU,1997,24,56,: 50-69,3424
Luxembourg,LUX,1997,6.1667,49.75,: 50-69,283
Madagascar,MDG,1997,47,-20,: 50-69,2813
Malawi,MWI,1997,34,-13.5,: 50-69,1907
Malaysia,MYS,1997,112.5,2.5,: 50-69,6403
Maldives,MDV,1997,73,3.25,: 50-69,86
Mali,MLI,1997,-4,17,: 50-69,879
Malta,MLT,1997,14.5833,35.8333,: 50-69,217
Marshall Islands,MHL,1997,168,9,: 50-69,14
Mauritania,MRT,1997,-12,20,: 50-69,319
Mauritius,MUS,1997,57.55,-20.2833,: 50-69,504
Mexico,MEX,1997,-102,23,: 50-69,14429
Micronesia (country),FSM,1997,158.25,6.9167,: 50-69,61
Middle East & North Africa (WB),,1997,0,0,: 50-69,81553
Moldova,MDA,1997,29,47,: 50-69,3604
Monaco,MCO,1997,7.4,43.7333,: 50-69,26
Mongolia,MNG,1997,105,46,: 50-69,1185
Montenegro,MNE,1997,19,42,: 50-69,684
Morocco,MAR,1997,-5,32,: 50-69,7868
Mozambique,MOZ,1997,35,-18.25,: 50-69,2437
Myanmar,MMR,1997,98,22,: 50-69,33713
Namibia,NAM,1997,17,-22,: 50-69,445
Nauru,NRU,1997,166.9167,-0.5333,: 50-69,6
Nepal,NPL,1997,84,28,: 50-69,9436
Netherlands,NLD,1997,5.75,52.5,: 50-69,10826
New Zealand,NZL,1997,174,-41,: 50-69,1786
Nicaragua,NIC,1997,-85,13,: 50-69,425
Niger,NER,1997,8,16,: 50-69,424
Nigeria,NGA,1997,8,10,: 50-69,7527
Niue,NIU,1997,-169.8667,-19.0333,: 50-69,2
North America (WB),,1997,0,0,: 50-69,192320
North Korea,PRK,1997,127,40,: 50-69,16416
North Macedonia,MKD,1997,22,41.8333,: 50-69,2307
Northern Ireland,,1997,0,0,: 50-69,1135
Northern Mariana Islands,MNP,1997,145.75,15.2,: 50-69,13
Norway,NOR,1997,10,62,: 50-69,2170
OECD Countries,,1997,0,0,: 50-69,669314
Oman,OMN,1997,57,21,: 50-69,462
Pakistan,PAK,1997,70,30,: 50-69,53676
Palau,PLW,1997,134.5,7.5,: 50-69,10
Palestine,PSE,1997,35.25,32,: 50-69,605
Panama,PAN,1997,-80,9,: 50-69,334
Papua New Guinea,PNG,1997,147,-6,: 50-69,1815
Paraguay,PRY,1997,-58,-23,: 50-69,995
Peru,PER,1997,-76,-10,: 50-69,1421
Philippines,PHL,1997,122,13,: 50-69,24580
Poland,POL,1997,20,52,: 50-69,42543
Portugal,PRT,1997,-8,39.5,: 50-69,5509
Puerto Rico,PRI,1997,-66.5,18.25,: 50-69,990
Qatar,QAT,1997,51.25,25.5,: 50-69,84
Region of the Americas (WHO),,1997,0,0,: 50-69,336980
Romania,ROU,1997,25,46,: 50-69,28424
Russia,RUS,1997,100,60,: 50-69,181974
Rwanda,RWA,1997,30,-2,: 50-69,2217
Saint Kitts and Nevis,KNA,1997,-62.75,17.3333,: 50-69,7
Saint Lucia,LCA,1997,-61.1333,13.8833,: 50-69,29
Saint Vincent and the Grenadines,VCT,1997,-61.2,13.25,: 50-69,17
Samoa,WSM,1997,-172.3333,-13.5833,: 50-69,89
San Marino,SMR,1997,12.4167,43.7667,: 50-69,10
Sao Tome and Principe,STP,1997,7,1,: 50-69,13
Saudi Arabia,SAU,1997,45,25,: 50-69,2769
Scotland,,1997,0,0,: 50-69,5404
Senegal,SEN,1997,-14,14,: 50-69,1155
Serbia,SRB,1997,21,44,: 50-69,14428
Seychelles,SYC,1997,55.6667,-4.5833,: 50-69,31
Sierra Leone,SLE,1997,-11.5,8.5,: 50-69,765
Singapore,SGP,1997,103.8,1.3667,: 50-69,1149
Slovakia,SVK,1997,19.5,48.6667,: 50-69,4765
Slovenia,SVN,1997,15,46,: 50-69,1575
Solomon Islands,SLB,1997,159,-8,: 50-69,365
Somalia,SOM,1997,49,10,: 50-69,1934
South Africa,ZAF,1997,24,-29,: 50-69,20913
South Asia (WB),,1997,0,0,: 50-69,489756
South Korea,KOR,1997,127.5,37,: 50-69,19003
South Sudan,SSD,1997,30,8,: 50-69,841
South-East Asia Region (WHO),,1997,0,0,: 50-69,565804
Spain,ESP,1997,-4,40,: 50-69,23203
Sri Lanka,LKA,1997,81,7,: 50-69,5369
Sub-Saharan Africa (WB),,1997,0,0,: 50-69,101348
Sudan,SDN,1997,30,15,: 50-69,6064
Suriname,SUR,1997,-56,4,: 50-69,135
Sweden,SWE,1997,15,62,: 50-69,3868
Switzerland,CHE,1997,8,47,: 50-69,3409
Syria,SYR,1997,38,35,: 50-69,5195
Taiwan,TWN,1997,121,23.5,: 50-69,8143
Tajikistan,TJK,1997,71,39,: 50-69,2010
Tanzania,TZA,1997,35,-6,: 50-69,6466
Thailand,THA,1997,100,15,: 50-69,21124
Timor,TLS,1997,125.5167,-8.55,: 50-69,186
Togo,TGO,1997,1.1667,8,: 50-69,795
Tokelau,TKL,1997,-172,-9,: 50-69,1
Tonga,TON,1997,-175,-20,: 50-69,37
Trinidad and Tobago,TTO,1997,-61,11,: 50-69,493
Tunisia,TUN,1997,9,34,: 50-69,3038
Turkey,TUR,1997,35,39,: 50-69,37223
Turkmenistan,TKM,1997,60,40,: 50-69,2238
Tuvalu,TUV,1997,178,-8,: 50-69,8
Uganda,UGA,1997,32,1,: 50-69,2557
Ukraine,UKR,1997,32,49,: 50-69,76137
United Arab Emirates,ARE,1997,54,24,: 50-69,401
United Kingdom,GBR,1997,-2,54,: 50-69,44580
United States,USA,1997,-97,38,: 50-69,176087
United States Virgin Islands,VIR,1997,-64.8333,18.3333,: 50-69,30
Uruguay,URY,1997,-56,-33,: 50-69,2347
Uzbekistan,UZB,1997,64,41,: 50-69,7596
Vanuatu,VUT,1997,167,-16,: 50-69,61
Venezuela,VEN,1997,-66,8,: 50-69,4531
Vietnam,VNM,1997,106,16,: 50-69,24812
Wales,,1997,0,0,: 50-69,2508
Western Pacific Region (WHO),,1997,0,0,: 50-69,839135
World,OWID_WRL,1997,0,0,: 50-69,2743114
World Bank High Income,,1997,0,0,: 50-69,636047
World Bank Low Income,,1997,0,0,: 50-69,79949
World Bank Lower Middle Income,,1997,0,0,: 50-69,809139
World Bank Upper Middle Income,,1997,0,0,: 50-69,1216792
Yemen,YEM,1997,48,15,: 50-69,5368
Zambia,ZMB,1997,30,-15,: 50-69,1732
Zimbabwe,ZWE,1997,30,-20,: 50-69,3340
Afghanistan,AFG,1997,65,33,: 15-49 years,735
African Region (WHO),,1997,0,0,: 15-49 years,36898
Albania,ALB,1997,20,41,: 15-49 years,174
Algeria,DZA,1997,3,28,: 15-49 years,1878
American Samoa,ASM,1997,-170,-14.3333,: 15-49 years,7
Andorra,AND,1997,1.6,42.5,: 15-49 years,5
Angola,AGO,1997,18.5,-12.5,: 15-49 years,1131
Antigua and Barbuda,ATG,1997,-61.8,17.05,: 15-49 years,2
Argentina,ARG,1997,-64,-34,: 15-49 years,3685
Armenia,ARM,1997,45,40,: 15-49 years,496
Australia,AUS,1997,133,-27,: 15-49 years,1037
Austria,AUT,1997,13.3333,47.3333,: 15-49 years,678
Azerbaijan,AZE,1997,47.5,40.5,: 15-49 years,1328
Bahamas,BHS,1997,-76,24.25,: 15-49 years,14
Bahrain,BHR,1997,50.55,26,: 15-49 years,53
Bangladesh,BGD,1997,90,24,: 15-49 years,10608
Barbados,BRB,1997,-59.5333,13.1667,: 15-49 years,12
Belarus,BLR,1997,28,53,: 15-49 years,2748
Belgium,BEL,1997,4,50.8333,: 15-49 years,987
Belize,BLZ,1997,-88.75,17.25,: 15-49 years,8
Benin,BEN,1997,2.25,9.5,: 15-49 years,209
Bermuda,BMU,1997,-64.75,32.3333,: 15-49 years,3
Bhutan,BTN,1997,90.5,27.5,: 15-49 years,26
Bolivia,BOL,1997,-65,-17,: 15-49 years,251
Bosnia and Herzegovina,BIH,1997,18,44,: 15-49 years,545
Botswana,BWA,1997,24,-22,: 15-49 years,342
Brazil,BRA,1997,-55,-10,: 15-49 years,20715
Brunei,BRN,1997,114.6667,4.5,: 15-49 years,32
Bulgaria,BGR,1997,25,43,: 15-49 years,2651
Burkina Faso,BFA,1997,-2,13,: 15-49 years,391
Burundi,BDI,1997,30,-3.5,: 15-49 years,759
Cambodia,KHM,1997,105,13,: 15-49 years,1418
Cameroon,CMR,1997,12,6,: 15-49 years,635
Canada,CAN,1997,-95,60,: 15-49 years,2319
Cape Verde,CPV,1997,-24,16,: 15-49 years,12
Central African Republic,CAF,1997,21,7,: 15-49 years,515
Chad,TCD,1997,19,15,: 15-49 years,368
Chile,CHL,1997,-71,-30,: 15-49 years,921
China,CHN,1997,105,35,: 15-49 years,140854
Colombia,COL,1997,-72,4,: 15-49 years,1417
Comoros,COM,1997,44.25,-12.1667,: 15-49 years,31
Congo,COG,1997,15,-1,: 15-49 years,235
Cook Islands,COK,1997,-159.7667,-21.2333,: 15-49 years,2
Costa Rica,CRI,1997,-84,10,: 15-49 years,126
Cote d'Ivoire,CIV,1997,-5,8,: 15-49 years,1238
Croatia,HRV,1997,15.5,45.1667,: 15-49 years,813
Cuba,CUB,1997,-80,21.5,: 15-49 years,1127
Cyprus,CYP,1997,33,35,: 15-49 years,69
Czechia,CZE,1997,15.5,49.75,: 15-49 years,1459
Democratic Republic of Congo,COD,1997,25,0,: 15-49 years,2322
Denmark,DNK,1997,10,56,: 15-49 years,484
Djibouti,DJI,1997,43,11.5,: 15-49 years,54
Dominica,DMA,1997,-61.3333,15.4167,: 15-49 years,3
Dominican Republic,DOM,1997,-70.6667,19,: 15-49 years,403
East Asia & Pacific (WB),,1997,0,0,: 15-49 years,216050
Eastern Mediterranean Region (WHO),,1997,0,0,: 15-49 years,38689
Ecuador,ECU,1997,-77.5,-2,: 15-49 years,350
Egypt,EGY,1997,30,27,: 15-49 years,6357
El Salvador,SLV,1997,-88.9167,13.8333,: 15-49 years,152
England,,1997,0,0,: 15-49 years,4138
Equatorial Guinea,GNQ,1997,10,2,: 15-49 years,35
Eritrea,ERI,1997,39,15,: 15-49 years,505
Estonia,EST,1997,26,59,: 15-49 years,290
Eswatini,SWZ,1997,31.5,-26.5,: 15-49 years,55
Ethiopia,ETH,1997,38,8,: 15-49 years,2441
Europe & Central Asia (WB),,1997,0,0,: 15-49 years,143774
European Region (WHO),,1997,0,0,: 15-49 years,144519
Fiji,FJI,1997,175,-18,: 15-49 years,157
Finland,FIN,1997,26,64,: 15-49 years,433
France,FRA,1997,2,46,: 15-49 years,5338
G20,,1997,0,0,: 15-49 years,445852
Gabon,GAB,1997,11.75,-1,: 15-49 years,76
Gambia,GMB,1997,-16.5667,13.4667,: 15-49 years,72
Georgia,GEO,1997,43.5,42,: 15-49 years,1129
Germany,DEU,1997,9,51,: 15-49 years,7442
Ghana,GHA,1997,-2,8,: 15-49 years,494
Greece,GRC,1997,22,39,: 15-49 years,1203
Greenland,GRL,1997,-40,72,: 15-49 years,13
Grenada,GRD,1997,-61.6667,12.1167,: 15-49 years,4
Guam,GUM,1997,144.7833,13.4667,: 15-49 years,17
Guatemala,GTM,1997,-90.25,15.5,: 15-49 years,435
Guinea,GIN,1997,-10,11,: 15-49 years,391
Guinea-Bissau,GNB,1997,-15,12,: 15-49 years,50
Guyana,GUY,1997,-59,5,: 15-49 years,82
Haiti,HTI,1997,-72.4167,19,: 15-49 years,400
Honduras,HND,1997,-86.5,15,: 15-49 years,234
Hungary,HUN,1997,20,47,: 15-49 years,3071
Iceland,ISL,1997,-18,65,: 15-49 years,17
India,IND,1997,77,20,: 15-49 years,91064
Indonesia,IDN,1997,120,-5,: 15-49 years,22606
Iran,IRN,1997,53,32,: 15-49 years,2966
Iraq,IRQ,1997,44,33,: 15-49 years,2339
Ireland,IRL,1997,-8,53,: 15-49 years,269
Israel,ISR,1997,34.75,31.5,: 15-49 years,320
Italy,ITA,1997,12.8333,42.8333,: 15-49 years,3745
Jamaica,JAM,1997,-77.5,18.25,: 15-49 years,98
Japan,JPN,1997,138,36,: 15-49 years,8004
Jordan,JOR,1997,36,31,: 15-49 years,262
Kazakhstan,KAZ,1997,68,48,: 15-49 years,5191
Kenya,KEN,1997,38,1,: 15-49 years,1209
Kiribati,KIR,1997,173,1.4167,: 15-49 years,44
Kuwait,KWT,1997,47.6581,29.3375,: 15-49 years,159
Kyrgyzstan,KGZ,1997,75,41,: 15-49 years,882
Laos,LAO,1997,105,18,: 15-49 years,706
Latin America & Caribbean (WB),,1997,0,0,: 15-49 years,36883
Latvia,LVA,1997,25,57,: 15-49 years,521
Lebanon,LBN,1997,35.8333,33.8333,: 15-49 years,287
Lesotho,LSO,1997,28.5,-29.5,: 15-49 years,253
Liberia,LBR,1997,-9.5,6.5,: 15-49 years,86
Libya,LBY,1997,17,25,: 15-49 years,214
Lithuania,LTU,1997,24,56,: 15-49 years,600
Luxembourg,LUX,1997,6.1667,49.75,: 15-49 years,39
Madagascar,MDG,1997,47,-20,: 15-49 years,1357
Malawi,MWI,1997,34,-13.5,: 15-49 years,662
Malaysia,MYS,1997,112.5,2.5,: 15-49 years,1831
Maldives,MDV,1997,73,3.25,: 15-49 years,16
Mali,MLI,1997,-4,17,: 15-49 years,223
Malta,MLT,1997,14.5833,35.8333,: 15-49 years,30
Marshall Islands,MHL,1997,168,9,: 15-49 years,10
Mauritania,MRT,1997,-12,20,: 15-49 years,124
Mauritius,MUS,1997,57.55,-20.2833,: 15-49 years,155
Mexico,MEX,1997,-102,23,: 15-49 years,3478
Micronesia (country),FSM,1997,158.25,6.9167,: 15-49 years,33
Middle East & North Africa (WB),,1997,0,0,: 15-49 years,22467
Moldova,MDA,1997,29,47,: 15-49 years,893
Monaco,MCO,1997,7.4,43.7333,: 15-49 years,3
Mongolia,MNG,1997,105,46,: 15-49 years,364
Montenegro,MNE,1997,19,42,: 15-49 years,111
Morocco,MAR,1997,-5,32,: 15-49 years,2150
Mozambique,MOZ,1997,35,-18.25,: 15-49 years,937
Myanmar,MMR,1997,98,22,: 15-49 years,8257
Namibia,NAM,1997,17,-22,: 15-49 years,117
Nauru,NRU,1997,166.9167,-0.5333,: 15-49 years,4
Nepal,NPL,1997,84,28,: 15-49 years,1759
Netherlands,NLD,1997,5.75,52.5,: 15-49 years,1553
New Zealand,NZL,1997,174,-41,: 15-49 years,261
Nicaragua,NIC,1997,-85,13,: 15-49 years,98
Niger,NER,1997,8,16,: 15-49 years,240
Nigeria,NGA,1997,8,10,: 15-49 years,2574
Niue,NIU,1997,-169.8667,-19.0333,: 15-49 years,0
North America (WB),,1997,0,0,: 15-49 years,31287
North Korea,PRK,1997,127,40,: 15-49 years,2479
North Macedonia,MKD,1997,22,41.8333,: 15-49 years,408
Northern Ireland,,1997,0,0,: 15-49 years,132
Northern Mariana Islands,MNP,1997,145.75,15.2,: 15-49 years,10
Norway,NOR,1997,10,62,: 15-49 years,283
OECD Countries,,1997,0,0,: 15-49 years,107504
Oman,OMN,1997,57,21,: 15-49 years,158
Pakistan,PAK,1997,70,30,: 15-49 years,14778
Palau,PLW,1997,134.5,7.5,: 15-49 years,5
Palestine,PSE,1997,35.25,32,: 15-49 years,133
Panama,PAN,1997,-80,9,: 15-49 years,68
Papua New Guinea,PNG,1997,147,-6,: 15-49 years,645
Paraguay,PRY,1997,-58,-23,: 15-49 years,234
Peru,PER,1997,-76,-10,: 15-49 years,470
Philippines,PHL,1997,122,13,: 15-49 years,8039
Poland,POL,1997,20,52,: 15-49 years,8813
Portugal,PRT,1997,-8,39.5,: 15-49 years,1030
Puerto Rico,PRI,1997,-66.5,18.25,: 15-49 years,170
Qatar,QAT,1997,51.25,25.5,: 15-49 years,37
Region of the Americas (WHO),,1997,0,0,: 15-49 years,67991
Romania,ROU,1997,25,46,: 15-49 years,5858
Russia,RUS,1997,100,60,: 15-49 years,43445
Rwanda,RWA,1997,30,-2,: 15-49 years,986
Saint Kitts and Nevis,KNA,1997,-62.75,17.3333,: 15-49 years,2
Saint Lucia,LCA,1997,-61.1333,13.8833,: 15-49 years,7
Saint Vincent and the Grenadines,VCT,1997,-61.2,13.25,: 15-49 years,5
Samoa,WSM,1997,-172.3333,-13.5833,: 15-49 years,26
San Marino,SMR,1997,12.4167,43.7667,: 15-49 years,1
Sao Tome and Principe,STP,1997,7,1,: 15-49 years,2
Saudi Arabia,SAU,1997,45,25,: 15-49 years,1062
Scotland,,1997,0,0,: 15-49 years,595
Senegal,SEN,1997,-14,14,: 15-49 years,441
Serbia,SRB,1997,21,44,: 15-49 years,2113
Seychelles,SYC,1997,55.6667,-4.5833,: 15-49 years,10
Sierra Leone,SLE,1997,-11.5,8.5,: 15-49 years,245
Singapore,SGP,1997,103.8,1.3667,: 15-49 years,229
Slovakia,SVK,1997,19.5,48.6667,: 15-49 years,899
Slovenia,SVN,1997,15,46,: 15-49 years,240
Solomon Islands,SLB,1997,159,-8,: 15-49 years,138
Somalia,SOM,1997,49,10,: 15-49 years,989
South Africa,ZAF,1997,24,-29,: 15-49 years,7761
South Asia (WB),,1997,0,0,: 15-49 years,120359
South Korea,KOR,1997,127.5,37,: 15-49 years,4332
South Sudan,SSD,1997,30,8,: 15-49 years,304
South-East Asia Region (WHO),,1997,0,0,: 15-49 years,145008
Spain,ESP,1997,-4,40,: 15-49 years,3808
Sri Lanka,LKA,1997,81,7,: 15-49 years,1373
Sub-Saharan Africa (WB),,1997,0,0,: 15-49 years,38091
Sudan,SDN,1997,30,15,: 15-49 years,2082
Suriname,SUR,1997,-56,4,: 15-49 years,31
Sweden,SWE,1997,15,62,: 15-49 years,394
Switzerland,CHE,1997,8,47,: 15-49 years,463
Syria,SYR,1997,38,35,: 15-49 years,1481
Taiwan,TWN,1997,121,23.5,: 15-49 years,1986
Tajikistan,TJK,1997,71,39,: 15-49 years,592
Tanzania,TZA,1997,35,-6,: 15-49 years,2324
Thailand,THA,1997,100,15,: 15-49 years,6770
Timor,TLS,1997,125.5167,-8.55,: 15-49 years,50
Togo,TGO,1997,1.1667,8,: 15-49 years,261
Tokelau,TKL,1997,-172,-9,: 15-49 years,0
Tonga,TON,1997,-175,-20,: 15-49 years,8
Trinidad and Tobago,TTO,1997,-61,11,: 15-49 years,121
Tunisia,TUN,1997,9,34,: 15-49 years,668
Turkey,TUR,1997,35,39,: 15-49 years,8682
Turkmenistan,TKM,1997,60,40,: 15-49 years,849
Tuvalu,TUV,1997,178,-8,: 15-49 years,2
Uganda,UGA,1997,32,1,: 15-49 years,950
Ukraine,UKR,1997,32,49,: 15-49 years,13986
United Arab Emirates,ARE,1997,54,24,: 15-49 years,303
United Kingdom,GBR,1997,-2,54,: 15-49 years,5127
United States,USA,1997,-97,38,: 15-49 years,28965
United States Virgin Islands,VIR,1997,-64.8333,18.3333,: 15-49 years,6
Uruguay,URY,1997,-56,-33,: 15-49 years,332
Uzbekistan,UZB,1997,64,41,: 15-49 years,2012
Vanuatu,VUT,1997,167,-16,: 15-49 years,31
Venezuela,VEN,1997,-66,8,: 15-49 years,1421
Vietnam,VNM,1997,106,16,: 15-49 years,5656
Wales,,1997,0,0,: 15-49 years,262
Western Pacific Region (WHO),,1997,0,0,: 15-49 years,175449
World,OWID_WRL,1997,0,0,: 15-49 years,609616
World Bank High Income,,1997,0,0,: 15-49 years,100188
World Bank Low Income,,1997,0,0,: 15-49 years,24296
World Bank Lower Middle Income,,1997,0,0,: 15-49 years,210330
World Bank Upper Middle Income,,1997,0,0,: 15-49 years,274505
Yemen,YEM,1997,48,15,: 15-49 years,1557
Zambia,ZMB,1997,30,-15,: 15-49 years,627
Zimbabwe,ZWE,1997,30,-20,: 15-49 years,862
Afghanistan,AFG,1998,65,33,: 70+,2102
African Region (WHO),,1998,0,0,: 70+,74100
Albania,ALB,1998,20,41,: 70+,1491
Algeria,DZA,1998,3,28,: 70+,7557
American Samoa,ASM,1998,-170,-14.3333,: 70+,13
Andorra,AND,1998,1.6,42.5,: 70+,45
Angola,AGO,1998,18.5,-12.5,: 70+,1231
Antigua and Barbuda,ATG,1998,-61.8,17.05,: 70+,13
Argentina,ARG,1998,-64,-34,: 70+,21949
Armenia,ARM,1998,45,40,: 70+,1613
Australia,AUS,1998,133,-27,: 70+,13315
Austria,AUT,1998,13.3333,47.3333,: 70+,6858
Azerbaijan,AZE,1998,47.5,40.5,: 70+,2075
Bahamas,BHS,1998,-76,24.25,: 70+,34
Bahrain,BHR,1998,50.55,26,: 70+,142
Bangladesh,BGD,1998,90,24,: 70+,30248
Barbados,BRB,1998,-59.5333,13.1667,: 70+,76
Belarus,BLR,1998,28,53,: 70+,9692
Belgium,BEL,1998,4,50.8333,: 70+,14862
Belize,BLZ,1998,-88.75,17.25,: 70+,41
Benin,BEN,1998,2.25,9.5,: 70+,676
Bermuda,BMU,1998,-64.75,32.3333,: 70+,24
Bhutan,BTN,1998,90.5,27.5,: 70+,100
Bolivia,BOL,1998,-65,-17,: 70+,1199
Bosnia and Herzegovina,BIH,1998,18,44,: 70+,2599
Botswana,BWA,1998,24,-22,: 70+,446
Brazil,BRA,1998,-55,-10,: 70+,72829
Brunei,BRN,1998,114.6667,4.5,: 70+,80
Bulgaria,BGR,1998,25,43,: 70+,11859
Burkina Faso,BFA,1998,-2,13,: 70+,555
Burundi,BDI,1998,30,-3.5,: 70+,917
Cambodia,KHM,1998,105,13,: 70+,4120
Cameroon,CMR,1998,12,6,: 70+,907
Canada,CAN,1998,-95,60,: 70+,32111
Cape Verde,CPV,1998,-24,16,: 70+,64
Central African Republic,CAF,1998,21,7,: 70+,296
Chad,TCD,1998,19,15,: 70+,892
Chile,CHL,1998,-71,-30,: 70+,3643
China,CHN,1998,105,35,: 70+,1029559
Colombia,COL,1998,-72,4,: 70+,6761
Comoros,COM,1998,44.25,-12.1667,: 70+,104
Congo,COG,1998,15,-1,: 70+,323
