HDI Rank,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,Test2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29.00,Italy,0.78,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.89
101.00,Jamaica,0.65,0.65,0.66,0.67,0.67,0.67,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.69,0.70,0.71,0.71,0.72,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
19.00,Japan,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.90,0.90,0.91,0.91,0.91,0.92,0.92,0.92
102.00,Jordan,0.63,0.64,0.66,0.67,0.68,0.69,0.70,0.70,0.70,0.71,0.71,0.72,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.74,0.74,0.73,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73
51.00,Kazakhstan,0.69,0.68,0.68,0.68,0.67,0.66,0.67,0.67,0.67,0.68,0.69,0.70,0.71,0.73,0.74,0.75,0.75,0.76,0.76,0.76,0.76,0.77,0.78,0.79,0.80,0.81,0.81,0.82,0.82,0.83
143.00,Kenya,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.48,0.49,0.50,0.52,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.58,0.59,0.59,0.60,0.60,0.60
134.00,Kiribati,..,..,..,..,..,..,..,..,..,..,0.55,0.57,0.57,0.57,0.57,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.60,0.61,0.62,0.63,0.62,0.63,0.63,0.63
23.00,Korea (Republic of),0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.81,0.80,0.81,0.82,0.83,0.84,0.84,0.85,0.86,0.87,0.88,0.88,0.88,0.89,0.90,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92
64.00,Kuwait,0.71,0.67,0.66,0.69,0.72,0.75,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.79,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.80,0.79,0.80,0.80,0.80,0.81,0.81,0.81
120.00,Kyrgyzstan,0.64,0.63,0.63,0.61,0.60,0.59,0.59,0.60,0.61,0.61,0.62,0.63,0.63,0.64,0.64,0.64,0.65,0.65,0.66,0.66,0.66,0.66,0.67,0.68,0.69,0.69,0.69,0.69,0.70,0.70
137.00,Lao People's Democratic Republic,0.41,0.41,0.42,0.42,0.43,0.43,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.51,0.51,0.53,0.54,0.55,0.55,0.57,0.58,0.58,0.59,0.60,0.61,0.61,0.61,0.61
37.00,Latvia,0.71,0.71,0.69,0.67,0.68,0.68,0.69,0.70,0.71,0.72,0.74,0.75,0.77,0.78,0.80,0.81,0.82,0.83,0.83,0.83,0.82,0.83,0.83,0.84,0.85,0.85,0.85,0.86,0.86,0.87
92.00,Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.74,0.74,0.75,0.76,0.76,0.77,0.77,0.76,0.76,0.75,0.74,0.74,0.75,0.75,0.74
165.00,Lesotho,0.50,0.50,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.49,0.50,0.50,0.51,0.52,0.52,0.53
175.00,Liberia,..,..,..,..,..,..,..,..,..,0.40,0.44,0.44,0.44,0.42,0.43,0.43,0.44,0.45,0.45,0.45,0.46,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48
105.00,Libya,0.72,0.73,0.74,0.74,0.75,0.75,0.76,0.77,0.77,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.76,0.79,0.76,0.73,0.70,0.69,0.71,0.72,0.72
19.00,Liechtenstein,..,..,..,..,..,..,..,..,..,..,0.86,0.87,0.87,0.88,0.88,0.89,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92
34.00,Lithuania,0.74,0.73,0.72,0.71,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.79,0.80,0.81,0.82,0.83,0.83,0.84,0.83,0.83,0.84,0.84,0.85,0.86,0.86,0.87,0.87,0.88,0.88
23.00,Luxembourg,0.80,0.80,0.81,0.81,0.82,0.82,0.83,0.84,0.84,0.86,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.89,0.89,0.89,0.90,0.90,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92
164.00,Madagascar,..,..,..,..,..,..,..,..,..,..,0.46,0.47,0.46,0.47,0.48,0.49,0.49,0.50,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.53,0.53,0.53
174.00,Malawi,0.33,0.34,0.35,0.36,0.36,0.39,0.38,0.40,0.40,0.40,0.39,0.39,0.36,0.36,0.36,0.37,0.38,0.39,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.47,0.47,0.47,0.48,0.48
