Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion,,,,
Egypt,Middle East / North Africa,Onemeter,14301,222186,6.436499149,21211,1.510249418,,,,
Iran,Middle East / North Africa,Onemeter,859,364399,0.235730614,21211,1.510249418,,,,
Kuwait,Middle East / North Africa,Onemeter,428,37262,1.148623262,21211,1.510249418,,,,
Libya,Middle East / North Africa,Onemeter,696,45400,1.533039648,21211,1.510249418,,,,
Morocco,Middle East / North Africa,Onemeter,141,97991,0.143890765,21211,1.510249418,,,,
Oman,Middle East / North Africa,Onemeter,244,29018,0.840857399,21211,1.510249418,,,,
Qatar,Middle East / North Africa,Onemeter,274,15100,1.814569536,21211,1.510249418,,,,
Saudi Arabia,Middle East / North Africa,Onemeter,417,278922,0.149504162,21211,1.510249418,,,,
United Arab Emirates,Middle East / North Africa,Onemeter,1087,54000,2.012962963,21211,1.510249418,,,,
Tunisia,Middle East / North Africa,Onemeter,1718,58574,2.933041964,21211,1.510249418,,,,
Western Sahara,Middle East / North Africa,Onemeter,1,762,0.131233596,21211,1.510249418,,,,
Yemen,Middle East / North Africa,Onemeter,69,13954,0.494481869,21211,1.510249418,,,,
Algeria,Middle East / North Africa,Twometer,1140,186902,0.609945319,30645,2.181961879,,,,
Egypt,Middle East / North Africa,Twometer,21198,222186,9.540655127,30645,2.181961879,,,,
Iran,Middle East / North Africa,Twometer,1461,364399,0.400934141,30645,2.181961879,,,,
Kuwait,Middle East / North Africa,Twometer,632,37262,1.696097901,30645,2.181961879,,,,
Libya,Middle East / North Africa,Twometer,1016,45400,2.237885463,30645,2.181961879,,,,
Morocco,Middle East / North Africa,Twometer,259,97991,0.264309988,30645,2.181961879,,,,
Oman,Middle East / North Africa,Twometer,263,29018,0.906334,30645,2.181961879,,,,
Qatar,Middle East / North Africa,Twometer,441,15100,2.920529801,30645,2.181961879,,,,
Saudi Arabia,Middle East / North Africa,Twometer,614,278922,0.220133227,30645,2.181961879,,,,
United Arab Emirates,Middle East / North Africa,Twometer,1586,54000,2.937037037,30645,2.181961879,,,,
Tunisia,Middle East / North Africa,Twometer,1965,58574,3.354730768,30645,2.181961879,,,,
Western Sahara,Middle East / North Africa,Twometer,1,762,0.131233596,30645,2.181961879,,,,
Yemen,Middle East / North Africa,Twometer,69,13954,0.494481869,30645,2.181961879,,,,
Algeria,Middle East / North Africa,Threemeter,1210,186902,0.647398102,39112,2.784822745,,,,
Egypt,Middle East / North Africa,Threemeter,26952,222186,12.13037725,39112,2.784822745,,,,
Iran,Middle East / North Africa,Threemeter,2145,364399,0.588640474,39112,2.784822745,,,,
Kuwait,Middle East / North Africa,Threemeter,677,37262,1.816864366,39112,2.784822745,,,,
Libya,Middle East / North Africa,Threemeter,1094,45400,2.40969163,39112,2.784822745,,,,
Morocco,Middle East / North Africa,Threemeter,470,97991,0.479635885,39112,2.784822745,,,,
Oman,Middle East / North Africa,Threemeter,396,29018,1.364670205,39112,2.784822745,,,,
Qatar,Middle East / North Africa,Threemeter,651,15100,4.311258278,39112,2.784822745,,,,
Saudi Arabia,Middle East / North Africa,Threemeter,826,278922,0.29614014,39112,2.784822745,,,,
United Arab Emirates,Middle East / North Africa,Threemeter,1751,54000,3.242592593,39112,2.784822745,,,,
Tunisia,Middle East / North Africa,Threemeter,2855,58574,4.874176256,39112,2.784822745,,,,
Western Sahara,Middle East / North Africa,Threemeter,2,762,0.262467192,39112,2.784822745,,,,
Yemen,Middle East / North Africa,Threemeter,83,13954,0.594811524,39112,2.784822745,,,,
Algeria,Middle East / North Africa,Fourmeter,2059,186902,1.101646852,46947,3.342684429,,,,
Egypt,Middle East / North Africa,Fourmeter,31223,222186,14.05264058,46947,3.342684429,,,,
Iran,Middle East / North Africa,Fourmeter,2868,364399,0.787049361,46947,3.342684429,,,,
Kuwait,Middle East / North Africa,Fourmeter,1147,37262,3.078202995,46947,3.342684429,,,,
Libya,Middle East / North Africa,Fourmeter,1215,45400,2.676211454,46947,3.342684429,,,,
Morocco,Middle East / North Africa,Fourmeter,535,97991,0.545968507,46947,3.342684429,,,,
Oman,Middle East / North Africa,Fourmeter,492,29018,1.695499345,46947,3.342684429,,,,
Qatar,Middle East / North Africa,Fourmeter,999,15100,6.61589404,46947,3.342684429,,,,
Saudi Arabia,Middle East / North Africa,Fourmeter,1075,278922,0.385412409,46947,3.342684429,,,,
United Arab Emirates,Middle East / North Africa,Fourmeter,1932,54000,3.577777778,46947,3.342684429,,,,
Tunisia,Middle East / North Africa,Fourmeter,3301,58574,5.635606242,46947,3.342684429,,,,
Western Sahara,Middle East / North Africa,Fourmeter,2,762,0.262467192,46947,3.342684429,,,,
Yemen,Middle East / North Africa,Fourmeter,99,13954,0.709473986,46947,3.342684429,,,,
Algeria,Middle East / North Africa,Fivemeter,2196,186902,1.174947299,55561,3.956011876,,,,
Egypt,Middle East / North Africa,Fivemeter,36214,222186,16.29895673,55561,3.956011876,,,,
Iran,Middle East / North Africa,Fivemeter,3645,364399,1.000277169,55561,3.956011876,,,,
Kuwait,Middle East / North Africa,Fivemeter,1374,37262,3.687402716,55561,3.956011876,,,,
Libya,Middle East / North Africa,Fivemeter,1299,45400,2.86123348,55561,3.956011876,,,,
Morocco,Middle East / North Africa,Fivemeter,609,97991,0.621485647,55561,3.956011876,,,,
Oman,Middle East / North Africa,Fivemeter,605,29018,2.084912813,55561,3.956011876,,,,
Qatar,Middle East / North Africa,Fivemeter,1476,15100,9.774834437,55561,3.956011876,,,,
Saudi Arabia,Middle East / North Africa,Fivemeter,1402,278922,0.502649486,55561,3.956011876,,,,
United Arab Emirates,Middle East / North Africa,Fivemeter,2364,54000,4.377777778,55561,3.956011876,,,,
Tunisia,Middle East / North Africa,Fivemeter,4260,58574,7.272851436,55561,3.956011876,,,,
Western Sahara,Middle East / North Africa,Fivemeter,3,762,0.393700787,55561,3.956011876,,,,
Yemen,Middle East / North Africa,Fivemeter,114,13954,0.816970044,55561,3.956011876,,,,
Angola,Sub-Saharan Africa,Onemeter,48,27653,0.17357972,2401,0.237889295,,,,
Benin,Sub-Saharan Africa,Onemeter,336,5962,5.635692721,2401,0.237889295,,,,
"Congo, Rep.",Sub-Saharan Africa,Onemeter,0,2881,0,2401,0.237889295,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Onemeter,9,37331,0.02410865,2401,0.237889295,,,,
Cameroon,Sub-Saharan Africa,Onemeter,19,24386,0.077913557,2401,0.237889295,,,,
Djibouti,Sub-Saharan Africa,Onemeter,5,1487,0.336247478,2401,0.237889295,,,,
Equatorial Guinea,Sub-Saharan Africa,Onemeter,0,960,0,2401,0.237889295,,,,
Ethiopia,Sub-Saharan Africa,Onemeter,173,49241,0.351333239,2401,0.237889295,,,,
Gambia,Sub-Saharan Africa,Onemeter,19,2567,0.740163615,2401,0.237889295,,,,
Gabon,Sub-Saharan Africa,Onemeter,9,7385,0.121868653,2401,0.237889295,,,,
Ghana,Sub-Saharan Africa,Onemeter,356,42213,0.843342098,2401,0.237889295,,,,
Guinea,Sub-Saharan Africa,Onemeter,46,14174,0.324537886,2401,0.237889295,,,,
Ivory Coast,Sub-Saharan Africa,Onemeter,267,24159,1.105178194,2401,0.237889295,,,,
Kenya,Sub-Saharan Africa,Onemeter,40,29623,0.135030213,2401,0.237889295,,,,
Liberia,Sub-Saharan Africa,Onemeter,36,3350,1.074626866,2401,0.237889295,,,,
Madagascar,Sub-Saharan Africa,Onemeter,29,12577,0.230579629,2401,0.237889295,,,,
Mauritania,Sub-Saharan Africa,Onemeter,465,4972,9.35237329,2401,0.237889295,,,,
Mozambique,Sub-Saharan Africa,Onemeter,47,17660,0.266138165,2401,0.237889295,,,,
Nigeria,Sub-Saharan Africa,Onemeter,250,109412,0.228494132,2401,0.237889295,,,,
Guinea-Bissau,Sub-Saharan Africa,Onemeter,5,1150,0.434782609,2401,0.237889295,,,,
South Africa,Sub-Saharan Africa,Onemeter,35,470466,0.007439432,2401,0.237889295,,,,
Senegal,Sub-Saharan Africa,Onemeter,158,13848,1.140958983,2401,0.237889295,,,,
Sierra Leone,Sub-Saharan Africa,Onemeter,4,2285,0.175054705,2401,0.237889295,,,,
Somalia,Sub-Saharan Africa,Onemeter,4,4300,0.093023256,2401,0.237889295,,,,
Sudan,Sub-Saharan Africa,Onemeter,15,62128,0.024143703,2401,0.237889295,,,,
Togo,Sub-Saharan Africa,Onemeter,11,7493,0.146803683,2401,0.237889295,,,,
Sao Tome and Principe,Sub-Saharan Africa,Onemeter,0,178,0,2401,0.237889295,,,,
Tanzania,Sub-Saharan Africa,Onemeter,11,17035,0.064572938,2401,0.237889295,,,,
Namibia,Sub-Saharan Africa,Onemeter,4,12417,0.0322139,2401,0.237889295,,,,
Angola,Sub-Saharan Africa,Twometer,115,27653,0.415868079,4549,0.450711538,,,,
