Country,Population,SeaLevelRiseScenarios,ImpactedPopulation
Bangladesh,137439000,Fourmeter,10183882
Sri Lanka,18924000,Fourmeter,679015
India,1008937000,Fourmeter,12145257
Pakistan,141256000,Fourmeter,1094385
Argentina,37032000,Fivemeter,1271972
Bahamas,304000,Fivemeter,89742
Belize,226000,Fivemeter,42693
Brazil,170406000,Fivemeter,5296660
Chile,15211000,Fivemeter,71714
Colombia,42105000,Fivemeter,650853
Costa Rica,4024000,Fivemeter,43917
Cuba,11199000,Fivemeter,427107
Dominican Republic,8373000,Fivemeter,189017
Ecuador,12646000,Fivemeter,660611
El Salvador,6278000,Fivemeter,56534
French Guiana,165000,Fivemeter,24304
Guatemala,11385000,Fivemeter,35277
Guyana,761000,Fivemeter,319582
Haiti,8142000,Fivemeter,115836
Honduras,6417000,Fivemeter,62839
Jamaica,2576000,Fivemeter,105399
Mexico,98872000,Fivemeter,2221226
Suriname,417000,Fivemeter,232546
Nicaragua,5071000,Fivemeter,48615
Peru,25662000,Fivemeter,164391
Panama,2856000,Fivemeter,92329
Puerto Rico,3915000,Fivemeter,333421
Uruguay,3337000,Fivemeter,201020
Venezuela,24170000,Fivemeter,745730
Algeria,30291000,Fivemeter,446864
Egypt,67884000,Fivemeter,14147454
Iran,70330000,Fivemeter,866473
Kuwait,1914000,Fivemeter,39722
Libya,5290000,Fivemeter,334717
Morocco,29634000,Fivemeter,771015
Oman,2538000,Fivemeter,111377
Qatar,565000,Fivemeter,55379
Saudi Arabia,20346000,Fivemeter,1349536
United Arab Emirates,2606000,Fivemeter,306088
Tunisia,9459000,Fivemeter,899951
Western Sahara,190000,Fivemeter,1212
Yemen,18349000,Fivemeter,227928
Angola,13134000,Fivemeter,131359
Benin,6272000,Fivemeter,766704
"Congo, Rep.",3018000,Fivemeter,21608
"Congo, Dem. Rep.",50948000,Fivemeter,35239
Cameroon,14876000,Fivemeter,96768
Equatorial Guinea,457000,Fivemeter,4217
Ethiopia,62908000,Fivemeter,252826
"Gambia, The",1303000,Fivemeter,291532
Gabon,1230000,Fivemeter,57222
Ghana,19306000,Fivemeter,503424
Guinea,8154000,Fivemeter,427999
Ivory Coast,16013000,Fivemeter,518012
Kenya,30669000,Fivemeter,64592
Liberia,2913000,Fivemeter,360564
Madagascar,15970000,Fivemeter,330336
Mauritania,2665000,Fivemeter,549780
Mozambique,18292000,Fivemeter,979918
Nigeria,113862000,Fivemeter,3505455
Guinea-Bissau,1199000,Fivemeter,161336
South Africa,43309000,Fivemeter,99670
Senegal,9421000,Fivemeter,1120602
Sierra Leone,4405000,Fivemeter,169335
Somalia,8778000,Fivemeter,177212
Sudan,31095000,Fivemeter,187512
Togo,4527000,Fivemeter,186124
Sao Tome and Principe,138000,Fivemeter,1452
"Tanzania, United Republic of",35119000,Fivemeter,187985
Namibia,1757000,Fivemeter,39966
Djibouti,632000,Fivemeter,90968
Myanmar (Burma),47749000,Fivemeter,5859748
Brunei,328000,Fivemeter,10953
Cambodia,13104000,Fivemeter,1249821
China,1275133000,Fivemeter,88275595
Indonesia,212092000,Fivemeter,17327380
North Korea,22268000,Fivemeter,951319
South Korea,46740000,Fivemeter,1276765
Malaysia,22218000,Fivemeter,1458363
Papua New Guinea,4809000,Fivemeter,24860
Philippines,75653000,Fivemeter,6243089
Thailand,62806000,Fivemeter,7810588
Taiwan China,22370000,Fivemeter,2199026
Vietnam,78137000,Fivemeter,29836444
Bangladesh,137439000,Fivemeter,16720860
Sri Lanka,18924000,Fivemeter,949770
India,1008937000,Fivemeter,24626888
Pakistan,141256000,Fivemeter,1393182
