locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BURWOOD,778000,799000,765000,780000,921000,1190000,1219000,1357000,1320000,1165500,1277500,1392500
BURWOOD EAST,678000,630000,617000,685500,782000,982500,1021000,1126500,1048000,1020000,1050000,1170000
CAIRNLEA,463000,478500,440000,480000,545000,540000,608500,710000,734000,752500,807500,735000
CALIFORNIA GULLY,209500,240000,255000,252500,262000,256500,255000,250000,275000,287000,320000,367000
CAMBERWELL,1345000,1322000,1300000,1382000,1655000,1912500,2090000,2300000,2155000,2085000,2060000,2136000
CAMPBELLFIELD,385000,360000,330000,330000,338000,374500,420000,507000,550000,533000,537500,550000
CAMPBELLS CREEK,316000,340000,343500,382000,345000,387500,426500,380000,460500,500000,540000,623500
CAMPERDOWN,185000,180000,183500,220000,186000,218000,217500,240000,235000,280000,295000,304000
CANADIAN,302500,298000,290500,322500,297000,345000,339000,334500,373000,375000,426000,458000
CANTERBURY,1827500,1730000,1790000,1950000,2100000,2523000,2620000,3140000,2536500,2902500,2700000,2830000
CAPE PATERSON,332500,420000,348000,337000,332000,350000,358000,407500,442000,540000,635500,668000
CAPE SCHANCK,545000,477500,655000,620000,557500,660000,667500,972500,845000,940000,1095500,760000
CAPEL SOUND,355000,375000,330000,350000,366000,390000,445000,542500,550000,520000,580000,684000
CARISBROOK,202000,134500,192500,218500,238500,200000,200000,245000,232500,300000,301500,269500
CARLTON,900000,1055000,860500,1002500,1020000,830000,1050000,1470000,1600000,1308000,1415000,1220000
CARLTON NORTH,930000,833000,940000,890500,1095000,1177500,1360000,1628000,1445000,1555000,1500000,1500000
CARNEGIE,880000,905500,845000,865000,1007500,1300000,1348500,1509000,1445000,1313500,1420000,1548000
CAROLINE SPRINGS,407500,420000,427500,435000,460000,480000,530000,611000,620000,620000,650000,670000
CARRUM,500000,492500,499000,510000,536000,611000,750000,835500,860000,770000,830000,880000
CARRUM DOWNS,330000,345000,334000,330000,346000,370000,430000,525000,575000,537000,576000,629000
CASTERTON,117500,106500,110000,97500,99000,100000,126500,142000,132500,150000,161500,170000
CASTLEMAINE,300000,322500,338000,372500,369500,380000,410000,435000,499000,520000,545000,658500
CAULFIELD,1180000,1150000,1085000,1172500,1322000,1650000,1715000,1914000,1701000,1762500,1811000,1610000
CAULFIELD EAST,866000,760000,750000,845000,1168000,1167500,1300000,1500000,1322500,1375000,1418000,1752500
CAULFIELD NORTH,1420000,1350000,1330000,1415000,1480000,1875000,2181000,2285000,1960000,2112000,2286000,2100000
CAULFIELD SOUTH,1007500,930000,890000,1050000,1200000,1375000,1517500,1690000,1600000,1494500,1750000,1625000
CHADSTONE,670500,625000,595000,719000,823500,925000,1017500,1131000,1050000,958000,1105000,1048000
CHARLEMONT,560000,560000,560000,560000,560000,560000,560000,157000,455000,465000,530000,525000
CHARLTON,125000,117000,123000,120000,131000,179500,160000,136000,150000,147000,149500,162000
CHELSEA,585500,525000,545000,577500,580000,730000,890000,914000,905000,856500,965000,988000
CHELSEA HEIGHTS,445000,454000,440000,465000,513000,598000,641000,750000,778000,750000,802000,940000
CHELTENHAM,696000,644000,635500,695000,775000,866000,940500,1171000,1105000,1035000,1160000,1232500
CHELTENHAM EAST,630000,580000,545000,600000,670000,770000,867500,982500,940000,940000,1001000,1115000
CHELTENHAM NORTH,651000,581500,570000,584000,662000,750000,900000,1025000,925000,913000,922500,999500
CHEWTON,258000,255000,230500,312500,296000,369000,403500,320000,435000,439500,605000,803000
CHILTERN,189000,202000,208000,171500,187500,220000,250000,238500,260000,223500,321000,295000
CHIRNSIDE PARK,449500,464000,435500,450000,490500,542500,627000,735000,700000,680500,770500,805000
CHURCHILL,172000,170000,176500,182000,178500,172500,182000,175000,180000,185000,226000,289000
CLARINDA,530000,530000,475500,525000,606500,682500,751000,866000,802500,815000,854000,1029000
CLAYTON,650500,617000,572500,645000,750000,976000,1010500,1250000,1255000,1150000,1050000,1070000
CLAYTON NORTH,745500,619500,649000,630000,850000,1075000,1100000,1234500,1330000,1377500,1235000,1075000
CLAYTON SOUTH,550500,511000,470500,522500,580000,690000,755000,850000,850000,832000,830000,832000
CLIFTON HILL,825000,780000,801500,865000,965000,1085000,1220000,1390000,1360000,1348000,1375000,1266000
CLIFTON SPRINGS,318000,340000,325000,336000,342000,345000,365000,419000,472000,485000,518500,570000
CLUNES,187500,199000,196500,219000,237500,245000,255000,263000,354000,320000,357500,450000
CLYDE,361500,515000,272500,397000,406000,397000,435000,430000,505000,548000,576500,599500
CLYDE NORTH,,300000,395000,409000,380000,410000,491000,550000,595000,571500,610000,652000
COBBLEBANK,,,400000,335500,323000,318000,328000,374000,455500,480500,510000,516000
COBDEN,220000,200000,186500,162500,145000,178500,177000,263000,225000,237000,271000,315000
COBRAM,212000,207500,221500,218000,230000,236000,265000,255000,255000,272500,300000,335000
COBURG,640000,611000,594000,633000,710000,778000,876000,1000000,969000,935500,1095000,1057500
COBURG EAST,544000,510000,466500,560000,597500,675000,762500,861000,841500,825000,975000,987500
COBURG NORTH,533000,540000,489500,538500,600000,665000,780000,821000,814000,805000,912500,921000
COCKATOO,312000,325000,333500,355000,365000,385500,430000,539500,591000,580000,610000,620000
COHUNA,137000,170000,140000,139000,175000,175000,157500,180000,177500,204000,232500,230000
COLAC,213000,215000,225000,226500,235000,246500,259500,282500,320000,315000,350000,385000
COLDSTREAM,395000,377500,368000,385000,405000,441000,521000,597500,660000,635000,648000,670000
COLERAINE,95000,124000,109500,118000,95000,96000,90000,133000,114000,144000,127000,143500
COLLINGWOOD,751500,697500,734000,741000,775000,914000,920000,1205000,1110000,1060000,1158000,1313000
