locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RUTHERGLEN,175000,207000,235000,232000,195000,230000,255000,262000,270000,282500,350000,365000
RYE,436000,440000,422000,425000,460000,488000,550000,658000,705000,690000,792000,954500
SAFETY BEACH,497500,553000,551000,515000,516500,595000,665000,780000,825000,793500,885000,945000
SAILORS GULLY,213500,265000,257500,253000,262500,235000,225000,232000,290000,280000,275000,294000
SALE,276500,291500,274500,290000,300000,298000,295500,300000,309500,325000,345000,365000
SAN REMO,445000,411000,402500,410000,407000,420000,460000,497000,515000,554500,597500,755000
SANCTUARY LAKES,465000,475000,512500,480000,485000,570000,503000,629000,627500,625000,651000,681000
SANDHURST,460000,504500,510000,545000,549000,617500,678500,730000,837500,812500,780000,860000
SANDRINGHAM,1200000,1202500,1175000,1210000,1305000,1490000,1760000,1870000,1850000,1650000,1831500,1890000
SANDY POINT,338000,375000,355000,352500,380000,370000,359000,407500,410000,410000,515000,760000
SASSAFRAS,507000,497500,397500,632500,556000,562000,653500,775500,750000,805000,770000,825000
SAWMILL SETTLEMENT,221500,199000,207000,259000,205500,233000,350000,270000,285000,441000,400000,540000
SCORESBY,488000,472000,480000,509000,570000,661000,700000,878500,835000,767000,785000,880000
SEA LAKE,62500,112000,65000,80000,75000,95000,75000,70000,110000,100000,106500,155000
SEABROOK,415000,407500,403500,422500,402500,456000,509000,635000,672500,626500,652500,670000
SEAFORD,412500,415000,392500,419000,450000,475000,580500,700000,695000,655000,694000,810000
SEAHOLME,565000,630000,600000,641000,670000,802500,872500,1157500,1015000,1020000,935000,1380000
SEASPRAY,239000,165000,192500,152000,164000,240000,175000,215000,210000,265000,260000,280000
SEBASTOPOL,226000,228000,239000,242000,235500,244500,247500,256000,289500,315000,341000,374000
SEDDON,645500,620500,670000,675000,730000,830000,934500,982500,1018500,960000,1100000,1050000
SELBY,407000,421500,410000,420000,420000,469500,527500,600000,637500,601500,720000,889000
SEVILLE,387500,380000,380000,400000,397500,450000,511500,611500,634500,620000,626000,710000
SEVILLE EAST,342500,364500,342500,339500,350000,395000,440000,482500,551500,580000,600000,545000
SEYMOUR,215000,190000,220000,220000,213000,225000,242500,277000,295000,300000,324000,381000
SHEPPARTON,251000,242500,240000,247000,243000,250000,265000,261000,275000,282000,310000,339500
SHEPPARTON NORTH,360000,330500,284000,346000,375000,348000,361000,347000,334000,393000,379000,362500
SHOREHAM,581000,585000,618000,607000,620000,903000,868500,970000,1160000,1400000,1077000,1850000
SILVERLEAVES,497500,500000,505000,508000,460500,484000,446500,515000,721000,618500,770000,857000
SKENES CREEK,500000,370000,532500,465000,435000,491500,520000,517000,580000,667500,807500,735000
SKIPTON,152000,160000,149000,155000,117500,137000,169000,187500,159500,200000,219500,224500
SKYE,375000,385000,390000,395000,413000,430000,479000,570000,611000,597500,610000,691000
SMITHS BEACH,442500,380000,430000,372500,390000,455000,470000,458500,589000,624500,695000,800000
SMYTHESDALE,210000,259000,207500,260000,207500,225000,250000,315000,290000,342500,475000,
SOLDIERS HILL,265000,278000,292500,283000,341000,310000,374000,423500,447500,480000,560000,425000
SOMERS,615000,615000,692500,657500,755000,696500,755500,820000,888500,950000,960000,1547000
SOMERVILLE,370000,375000,360000,385000,395000,425000,465000,580000,615000,600000,637500,730000
SORRENTO,850000,905000,730000,770000,795000,859000,1130000,1300000,1380000,1470000,1650000,1725000
SOUTH DUDLEY,235500,230000,216500,192000,200500,221500,256000,233500,270000,339000,330000,419500
SOUTH GEELONG,420000,382500,430000,420500,470000,425000,495000,650000,676000,702500,835000,1120000
SOUTH KINGSVILLE,650000,620000,610000,619500,671000,742000,903000,980000,1000000,859000,991000,1080000
SOUTH MELBOURNE,960000,925000,930000,1030000,1200000,1310000,1595000,1532500,1465000,1355000,1580000,1400000
SOUTH MORANG,411000,410000,420000,415000,420000,450000,502000,610500,634000,625500,640000,667000
SOUTH YARRA,1375000,1125000,1238000,1352500,1450000,1700000,1890000,2035000,1851000,1850000,1977500,1500000
SPOTSWOOD,635000,602500,655000,680000,640000,795000,917500,1027500,1080000,950000,1000000,1088500
SPRING GULLY,294000,320000,340000,345000,350000,350000,350000,390000,400000,386500,440000,495000
SPRINGVALE,490000,470000,448000,451500,530000,629500,685000,750000,786000,743000,778000,860000
SPRINGVALE SOUTH,450500,420000,408000,430000,475000,562000,630000,720000,720000,679000,725000,770000
ST ALBANS,385000,387000,348000,350000,373500,428000,500000,610000,626500,591000,600000,630000
ST ALBANS PARK,298000,310000,307500,335000,330000,329000,331000,379000,450000,422000,455000,502500
ST ANDREWS BEACH,495000,550000,714000,480000,495000,560000,695000,855000,902500,930000,1207500,1350000
ST ARNAUD,131000,125000,123000,140000,145000,141000,142500,145000,145000,175000,170000,207500
ST HELENA,562000,570000,550500,612500,623000,711000,800000,893500,910000,905000,930000,972000
ST KILDA,930000,860000,861000,892000,1225000,1164000,1305000,1551000,1755000,1600000,1296500,1380500
ST KILDA EAST,1041000,962500,993000,1050500,1037500,1382500,1677500,1460000,1620000,1560500,1640000,1485000
ST KILDA WEST,1925000,1700000,1262500,1142500,2235000,2013000,1797000,2380000,1942500,2465000,2630000,1560000
ST LEONARDS,350000,389000,363000,350000,357000,375000,421500,469000,571500,562500,570000,650000
STANHOPE,160000,152000,175000,150000,131000,152500,147000,181000,161500,187500,196000,254500
STAWELL,155000,147000,167000,162500,172500,177000,177000,188000,190000,189000,225500,261000
STRATFORD,207500,242500,267500,230000,261500,260500,272500,265000,258000,316500,320000,338000
STRATHDALE,331000,369500,361000,392500,380000,410500,445000,380000,420000,451000,508500,605000
STRATHFIELDSAYE,357000,370000,359000,377000,397500,408000,425000,455000,444000,476500,535000,571500
STRATHMERTON,165000,107500,164500,166000,172500,190000,182500,140000,187500,195000,198000,265000
STRATHMORE,870000,820000,800000,827500,865000,997500,1140000,1230000,1357500,1322500,1346500,1350000
STRATHMORE HEIGHTS,598500,700000,605000,621000,640000,700000,808000,970000,885000,800000,835000,1060000
STRATHTULLOH,,,191000,350000,440000,425000,430000,359000,425000,507500,527500,556000
STUDFIELD,525000,470000,480500,532500,617500,785000,853000,957500,906000,811000,836000,1051000
SUNBURY,343000,360000,350000,355000,360000,370000,395000,492000,545000,533500,570000,625000
SUNDERLAND BAY,315000,280000,265000,324500,333000,287000,360000,357500,455000,413500,525000,695000
SUNNYCLIFFS,120000,70000,200000,195000,294000,185000,220000,228000,218000,229500,230000,330000
SUNSET STRIP,286000,286500,286500,301500,310000,301500,340000,345000,390000,460000,511000,545000
SUNSHINE,458000,430000,400000,435000,483500,530500,675000,765000,735000,720000,755500,770000
SUNSHINE NORTH,425000,420000,395000,400000,425500,495000,560000,651000,663000,638000,655000,800000
SUNSHINE WEST,400000,391500,375000,384500,395000,450000,520000,639500,635000,635000,655500,722500
SURF BEACH,332000,350000,350000,375000,360000,355000,414000,425000,480000,525000,549000,690000
SURREY HILLS,1204000,1212000,1121500,1323000,1450000,1750000,1800500,2170000,1900000,1890000,1844500,1967500
SWAN HILL,230000,225000,225000,225000,230000,248000,262500,252000,267000,285000,319500,347000
SWAN REACH,170000,253000,334000,230000,276000,331000,455000,350000,370000,450000,417500,472500
SYDENHAM,399000,420500,415000,425000,415000,440000,505000,590000,620000,599500,637500,600000
SYNDAL,880500,850000,778000,950500,1160000,1505000,1410000,1585000,1530000,1524500,1570000,1373000
TALLANGATTA,186000,175000,185000,154000,200000,233000,216000,275000,245000,257500,280000,272500
TARNEIT,360000,369000,356000,370000,395000,400000,445000,515000,569500,555000,570000,580000
TATURA,220000,215000,229500,230000,237500,233000,228000,262000,250000,276500,301500,345000
TAWONGA SOUTH,216000,230000,255000,219500,235000,257500,298000,254000,310000,422500,380000,455000
TAYLORS HILL,425000,420000,480000,487500,510000,530000,600000,686000,723000,702000,754000,760000
TAYLORS LAKES,467500,500000,477500,490000,510000,561500,635000,720000,763500,750000,777500,788500
TECOMA,400000,427500,412000,415000,478000,510000,601500,709000,700000,662500,742500,740000
TEMPLESTOWE,805000,804000,811000,865000,951500,1180000,1260000,1415000,1308000,1281500,1371500,1393000
TEMPLESTOWE LOWER,730000,711500,670000,750000,830000,1060000,1105500,1302000,1150000,1080000,1191000,1290000
TERANG,179000,160000,155000,161500,195000,206500,150000,188500,194000,188500,230000,294000
THE BASIN,430000,400000,410000,430000,463500,550000,595000,610000,682500,695000,739000,810000
THE HONEYSUCKLES,177500,236000,215000,214000,190000,160000,237000,265000,290000,336000,315000,444000
THE PATCH,444500,470000,417500,393500,486500,505000,570500,665000,730000,755000,760000,740000
THOMASTOWN,418000,400000,365000,390000,420000,436000,493000,653000,637000,593500,622000,650000
THOMSON (GREATER GEELONG),270000,281500,273500,282000,290000,290000,308500,365000,411000,400500,435000,426000
THORNBURY,720000,690000,715500,729000,840000,918000,1079500,1225000,1137500,1150000,1250000,1300000
THORNHILL PARK,,,,,,,720000,447000,530000,535000,550000,612500
TIMBOON,187000,211500,212500,184000,210000,240000,215000,220000,247000,260000,412500,380000
TONGALA,158500,154000,175000,185000,179000,165000,204000,200000,275000,234500,235000,207000
TOONGABBIE,260000,230000,212500,234000,261500,235000,315000,286500,280500,270000,309500,447500
TOORA,175000,220000,210000,171500,155000,230000,195000,190000,241500,275000,300000,323500
TOORADIN,420000,365000,380000,420000,480000,471000,411000,599000,702000,700000,755000,672500
TOORAK,2590000,2617500,2775000,2875000,3391000,3987500,4900000,5100000,4700000,4550000,5200000,5800000
TOOTGAROOK,370000,373500,390000,387000,402500,405000,460000,591000,600500,586000,675000,748000
TORQUAY,533000,565000,565000,580000,580000,620000,665000,720000,807500,816500,870000,1000000
TRAFALGAR,248500,271500,285000,283000,311000,310000,312500,333500,375000,396500,435000,400000
TRARALGON,257000,270000,260000,269000,275000,273000,268000,288500,298000,326500,340000,368500
TRARALGON EAST,388000,405000,402500,435000,440000,432500,445000,455000,425000,470000,501500,685000
TRAVANCORE,673000,672000,810000,905000,848000,1100000,1305000,1415000,1475000,1125000,1617500,1550000
TRENTHAM,300000,287000,331500,407500,340000,422500,455000,475000,603000,614000,620000,770000
TRUGANINA,345000,357000,341500,360000,390000,391000,430000,519500,574000,575000,580000,600000
TULLAMARINE,440000,420000,393500,395000,412000,472500,530000,655000,665500,612000,628000,700000
TYABB,347000,350500,372500,370500,366000,395000,430000,510500,548000,586500,600000,600000
UPPER FERNTREE GULLY,427500,400000,410000,435000,500000,515000,582000,685000,700000,642500,735000,737000
UPWEY,415000,415000,422500,425000,476000,515000,585000,680000,710000,702500,760500,822500
VENTNOR,380000,365000,363500,370000,377500,423500,420000,465000,490000,540000,619500,655000
VENUS BAY,239000,265500,238500,242500,237000,236000,258000,262500,307500,330000,375000,478000
VERMONT,610000,552500,571000,610000,725000,855000,900000,1065000,980000,937000,1000000,1000000
VERMONT SOUTH,694500,674000,654500,722500,815000,1000000,1082500,1200500,1150000,1165000,1200000,1300000
VIEWBANK,631500,604500,589000,630000,725000,829500,920000,1000000,933000,920000,985000,1099000
VIOLET TOWN,172500,170000,204500,215000,199500,200000,238500,217000,242500,287500,328500,290000
WAHGUNYAH,245000,190000,244000,190000,213500,267000,290000,270000,240000,355000,309500,365000
WALKERVILLE,235000,229500,280000,279000,230000,247000,283500,275000,266500,334500,350000,449000
WALLAN,330000,350000,335000,341500,356500,362000,375000,425000,490000,480000,512500,550000
WALLAN EAST,292500,305000,317000,310000,306000,309500,352500,410000,489000,450000,480000,555000
WANDANA HEIGHTS,540000,592500,557500,540000,582000,590000,592500,645000,700000,766500,827000,925000
WANDIN NORTH,411000,380500,379000,407500,439500,480000,496500,665000,665000,630000,715000,702000
WANGARATTA,241000,240000,240000,240000,255000,272000,270500,270000,320000,319000,350000,383000
WANTIRNA,545000,528000,515000,576000,667500,764000,801000,953000,915000,860000,910500,1020000
WANTIRNA SOUTH,575000,582000,542500,579000,676500,829000,875000,1005000,1000000,988500,1014000,1078000
WARBURTON,300000,315000,300000,310000,315000,325000,366000,418000,495000,512500,543000,590000
WARNEET,332500,295000,284000,337000,355000,395000,390000,485000,534000,512500,600000,580000
WARRACKNABEAL,88000,115000,105000,107500,110000,110000,123500,113000,112500,118000,140000,182500
WARRAGUL,280000,295000,300000,315000,320000,342000,340000,364000,448000,460000,498000,540000
WARRANDYTE,635000,657000,620000,640000,760000,829000,890000,1042500,1110000,994000,992000,1018000
WARRANWOOD,633500,632500,654000,603000,665000,790000,865000,943500,1010000,935000,963500,1050000
WARRNAMBOOL,320000,320000,316500,325000,323000,330000,320000,330000,350000,370000,415000,450000
WATERWAYS,604000,688000,682000,667000,845000,902000,1050000,1127500,1110000,1270000,1397500,1560500
WATSONIA,505000,500000,462000,505000,555000,607500,698000,835000,795000,736000,790000,805000
WATSONIA NORTH,529000,470500,462000,510000,572500,635000,702500,790000,770000,726500,795000,1070000
WATTLE GLEN,490000,569500,527000,475000,500500,569000,580000,620000,810000,778500,810000,826000
WAURN PONDS,435000,421000,452500,446500,470000,480000,501000,530000,621500,641500,671000,718000
WEDDERBURN,140000,123000,122500,154000,137500,110000,150000,155000,130000,138500,150000,155000
WEIR VIEWS,,,407000,327500,388000,389000,418000,440000,470000,465000,497500,530000
WENDOUREE,230000,235000,236500,243000,247000,250000,252500,267500,326000,335000,370000,416500
WENDOUREE WEST,186000,166000,167500,200000,165000,207500,185000,200000,245000,259000,300000,326000
WERRIBEE,308500,315000,300000,309000,315000,335000,403000,470000,510000,505000,523000,531000
WERRIBEE SOUTH,399000,436000,440000,538000,585000,680000,540000,650000,735000,744500,650000,810000
WEST FOOTSCRAY,558500,525000,532500,553000,637500,697000,798000,887500,875000,785000,835000,930000
WEST MELBOURNE,816000,885000,720000,905000,916000,1005000,1104500,1350000,1370000,1017500,1215000,1310000
WEST WODONGA,283000,275000,267500,272500,296000,306000,308500,321000,322000,342500,370000,407000
WESTALL,510000,490000,475500,513500,550000,610000,696000,780000,800000,741000,739000,760000
WESTGARTH,891500,951000,840000,920000,1100000,1300000,1500000,1383000,1707500,1492500,1566000,1725000
WESTMEADOWS,410000,397500,377500,386500,419000,470000,500000,566000,620000,620000,610500,660000
WHEELERS HILL,686500,650000,669000,740000,805000,999000,1050000,1160000,1118500,1010000,1172000,1331000
WHITE HILLS,253500,265000,275000,280000,306000,297500,305000,300000,313500,330000,350000,400000
WHITTINGTON,245000,265000,252000,259000,262000,280000,265000,316500,395000,377500,404000,436000
WHITTLESEA,345000,372500,365000,375000,375000,400000,448500,469500,577500,580000,610000,615000
WILLIAMS LANDING,367500,371000,450000,470000,450000,510000,530000,600000,685000,657000,685000,680000
WILLIAMSTOWN,884000,900000,901000,920000,970000,1120000,1282500,1440000,1415000,1350000,1370000,1402500
WILLIAMSTOWN NORTH,680000,839000,680000,768000,803500,862500,1135500,1024000,860000,950000,897500,1300000
WIMBLEDON HEIGHTS,299000,259000,290000,271500,310000,291500,299000,334000,410000,386500,435000,505000
WINCHELSEA,235000,260000,268500,287000,287500,262000,267000,357000,391000,430000,480000,517000
WINDSOR,900000,824000,818000,835000,956500,1094000,1505000,1420000,1422500,1350000,1350000,1805000
WINTER VALLEY,325000,329000,353500,344500,360000,365000,362500,375000,405000,435000,470000,525000
WODONGA,262000,279500,255500,282500,295000,295000,315000,341500,350000,331000,348000,395000
WOLLERT,425000,450000,410000,400000,395000,432000,460000,520500,550000,575000,583000,592000
WONGA PARK,620000,672500,622500,674500,673500,735000,801000,962500,1150000,1111000,1075000,888000
WONTHAGGI,275000,261500,229000,225000,251000,262000,265000,289000,339000,375000,390000,489000
WOODEND,480000,475000,430000,470000,460000,482500,460000,560000,665000,747500,752500,726500
WOOLAMAI WATERS,340000,350000,350000,349000,381500,340000,375000,418000,469500,495500,565000,625000
WOORI YALLOCK,300000,312000,315000,330000,317000,358000,391500,480000,520000,510000,552000,550000
WURRUK,175500,216500,235000,285000,222000,230000,259500,235000,310000,210000,267000,405000
WY YUNG,289000,288500,325000,285000,285000,290000,333500,328000,315000,349500,369500,639000
WYCHEPROOF,86000,86000,96500,95000,103000,100000,82500,100000,124500,141500,131000,205000
WYNDHAM VALE,296000,290000,286500,288000,306000,325000,365000,435500,480000,465000,485000,515000
YACKANDANDAH,289500,290000,272500,327500,318000,300000,392500,446000,472500,497500,440000,712500
YALLAMBIE,507000,506000,471000,532500,580000,665000,713500,781000,810000,792500,832500,900000
YALLOURN NORTH,145000,139000,161000,135000,149500,153000,165500,180000,172000,191000,205500,224000
YARRA GLEN,415000,425000,395000,420000,460000,530000,540000,620000,670000,670000,724000,650000
YARRA JUNCTION,352500,365000,397000,406500,357500,417500,422500,535000,562500,582500,595000,601500
YARRAGON,206000,255000,266000,258000,297000,284000,300000,280000,390000,410000,414000,447500
YARRAM,166000,195500,215000,190000,202500,245000,230000,225000,218000,240000,260000,343000
YARRAVILLE,647000,607000,613000,696000,710000,810000,900500,1000000,1045000,974000,1038500,1017500
YARRAWONGA,297000,270000,300000,302500,297000,300500,320000,324500,345000,375000,451000,539500
YEA,240000,270000,255000,260000,255000,260000,305000,386500,392500,441000,422500,515000
YINNAR,280500,208000,221500,220000,240000,182500,230000,270000,245000,255000,292500,465000
